,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
AddExecutionParametersRequest,1.61,0.76,0.07,61024,0.04,0.01,0.00,8204,4.86,3.25,0.36,213892,0.33,0.04,0.02,26824,
Aliasing1,0.96,0.50,0.10,42968,0.05,0.01,0.01,8152,4.12,2.68,0.36,200080,0.34,0.04,0.02,27524,
Aliasing4,1.11,0.66,0.11,48480,0.10,0.02,0.01,7848,11.71,9.78,0.73,376524,0.06,0.03,0.02,26724,
Aliasing5,1.02,0.55,0.10,44864,0.42,0.01,0.02,8180,6.35,5.19,0.34,245080,0.06,0.04,0.01,27660,
Aliasing6,1.05,0.67,0.10,48616,0.41,0.01,0.02,7812,3.65,2.54,0.28,201136,0.62,0.03,0.03,26620,
Arrays1,0.88,0.50,0.08,42984,0.40,0.01,0.02,8152,3.63,2.49,0.30,200804,0.06,0.04,0.02,27524,
Arrays2,0.89,0.48,0.07,42956,0.40,0.01,0.02,8152,1.63,1.42,0.11,206144,0.06,0.04,0.01,27524,
Arrays3,0.95,0.48,0.10,42984,0.47,0.01,0.02,8152,1.61,1.41,0.12,199348,0.06,0.04,0.01,27524,
Arrays4,0.87,0.49,0.07,42984,0.40,0.01,0.02,8152,1.63,1.42,0.13,208984,0.06,0.04,0.01,27524,
Arrays6,0.52,0.42,0.07,43056,0.19,0.02,0.02,8152,3.15,1.66,0.13,203788,0.06,0.04,0.02,27524,
Arrays7,0.54,0.46,0.06,43100,0.19,0.02,0.02,8152,3.15,1.68,0.12,204504,0.06,0.04,0.01,27524,
Arrays8,0.53,0.44,0.07,42728,0.14,0.02,0.02,8152,3.07,1.63,0.12,203308,0.06,0.03,0.02,27524,
Arrays9,0.51,0.43,0.06,42732,0.37,0.01,0.02,8152,3.14,1.66,0.14,206868,0.06,0.04,0.01,27524,
Arrays10,0.55,0.44,0.07,43472,0.12,0.02,0.01,7812,3.02,1.71,0.14,211756,0.06,0.04,0.01,26620,
