,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
instance00022,0.766,0.593,0.447,0.321,0.050,0.223,1.254,1.274,0.561,0.292,0.078,0.189,
instance00049,0.749,0.608,0.415,0.310,0.055,0.214,1.205,1.260,0.519,0.280,0.081,0.171,
instance00052,0.771,0.605,0.454,0.459,0.052,0.215,1.212,1.240,0.555,0.287,0.081,0.180,
instance00055,0.768,0.601,0.436,0.319,0.054,0.222,1.239,1.295,0.570,0.289,0.076,0.183,
instance00064,0.769,0.589,0.448,0.314,0.066,0.203,1.251,1.317,0.575,0.283,0.068,0.193,
instance00073,0.766,0.587,0.436,0.303,0.060,0.208,1.223,1.275,0.552,0.282,0.086,0.177,
instance00075,0.766,0.606,0.467,0.291,0.049,0.213,1.205,1.243,0.549,0.300,0.078,0.189,
instance00076,0.751,0.628,0.411,0.311,0.062,0.210,1.206,1.226,0.539,0.289,0.078,0.179,
instance00079,0.732,0.566,0.437,0.307,0.058,0.217,1.573,1.270,0.588,0.286,0.082,0.177,
instance00086,0.755,0.557,0.463,0.297,0.050,0.213,1.210,1.240,0.551,0.283,0.075,0.173,
instance00089,0.767,0.617,0.432,0.395,0.063,0.206,1.537,1.266,0.577,0.295,0.078,0.182,
instance00097,0.738,0.591,0.426,0.321,0.058,0.214,1.283,1.285,0.596,0.286,0.085,0.166,
instance00106,0.773,0.590,0.445,0.314,0.062,0.217,1.310,1.280,0.575,0.291,0.082,0.175,
instance00115,0.747,0.575,0.451,0.310,0.056,0.216,1.236,1.273,0.556,0.283,0.084,0.170,
instance00141,0.763,0.566,0.467,0.308,0.055,0.211,1.259,1.288,0.597,0.291,0.074,0.182,
instance00154,0.746,0.584,0.430,0.312,0.057,0.211,1.194,1.263,0.542,0.278,0.075,0.173,
instance00159,0.761,0.578,0.451,0.308,0.054,0.217,1.210,1.265,0.531,0.275,0.070,0.181,
instance00180,0.742,0.574,0.432,0.310,0.056,0.211,1.279,1.311,0.581,0.281,0.086,0.171,
instance00185,0.738,0.577,0.438,0.304,0.063,0.206,1.262,1.284,0.584,0.271,0.084,0.170,
instance00186,0.725,0.575,0.429,0.323,0.057,0.216,1.240,1.261,0.548,0.285,0.069,0.188,
instance00209,0.754,0.568,0.437,0.314,0.054,0.214,1.223,1.283,0.555,0.291,0.077,0.177,
instance00214,0.785,0.597,0.440,0.312,0.064,0.204,1.197,1.295,0.519,0.307,0.083,0.178,
instance00217,0.764,0.584,0.441,0.310,0.056,0.215,1.274,1.300,0.574,0.304,0.071,0.195,
instance00219,0.746,0.609,0.436,0.311,0.051,0.224,1.198,1.244,0.544,0.288,0.082,0.172,
instance00228,0.741,0.567,0.460,0.293,0.052,0.208,1.194,1.290,0.545,0.296,0.072,0.187,
instance00248,0.759,0.587,0.448,0.297,0.064,0.203,1.258,1.302,0.569,0.292,0.073,0.180,
instance00259,0.751,0.582,0.445,0.303,0.046,0.222,1.205,1.271,0.558,0.287,0.079,0.173,
instance00285,0.771,0.607,0.445,0.301,0.061,0.198,1.251,1.314,0.559,0.286,0.071,0.177,
instance00294,0.763,0.608,0.425,0.312,0.057,0.215,1.264,1.265,0.591,0.298,0.072,0.187,
instance00302,0.739,0.564,0.436,0.304,0.057,0.213,1.245,1.280,0.613,0.309,0.071,0.187,
instance00316,0.775,0.588,0.440,0.296,0.052,0.205,1.265,1.284,0.562,0.292,0.072,0.174,
instance00323,0.760,0.600,0.433,0.323,0.067,0.210,1.206,1.275,0.551,0.303,0.068,0.192,
instance00328,0.741,0.614,0.432,0.308,0.058,0.216,1.195,1.270,0.541,0.361,0.080,0.180,
instance00332,0.763,0.607,0.438,0.302,0.053,0.217,1.309,1.273,0.579,0.302,0.082,0.181,
instance00339,0.751,0.586,0.450,0.307,0.055,0.208,1.204,1.269,0.534,0.302,0.081,0.176,
instance00349,0.736,0.565,0.453,0.292,0.055,0.205,1.255,1.297,0.585,0.311,0.071,0.176,
instance00355,0.742,0.587,0.450,0.291,0.051,0.212,1.222,1.290,0.548,0.367,0.081,0.177,
instance00363,0.741,0.604,0.418,0.310,0.067,0.199,1.270,1.311,0.569,0.328,0.082,0.177,
instance00375,0.774,0.605,0.454,0.311,0.059,0.208,1.209,1.258,0.572,0.354,0.080,0.173,
instance00380,0.740,0.594,0.426,0.298,0.062,0.204,1.165,1.197,0.552,0.303,0.077,0.174,
instance00394,0.762,0.592,0.438,0.309,0.062,0.208,1.248,1.288,0.579,0.305,0.065,0.191,
instance00398,0.746,0.577,0.453,0.306,0.055,0.218,1.196,1.250,0.547,0.360,0.073,0.175,
instance00400,0.756,0.576,0.455,0.302,0.055,0.212,1.255,1.301,0.546,0.286,0.075,0.174,
instance00404,0.746,0.598,0.432,0.297,0.056,0.207,1.235,1.257,0.559,0.301,0.081,0.178,
instance00406,0.759,0.571,0.449,0.310,0.061,0.214,1.194,1.247,0.562,0.284,0.070,0.177,
instance00418,0.755,0.579,0.453,0.296,0.062,0.201,1.258,1.263,0.609,0.301,0.087,0.177,
instance00430,0.753,0.594,0.444,0.303,0.058,0.208,1.204,1.230,0.546,0.293,0.090,0.165,
instance00435,0.751,0.605,0.449,0.304,0.058,0.212,1.212,1.284,0.540,0.304,0.076,0.189,
instance00463,0.760,0.584,0.455,0.322,0.062,0.199,1.261,1.277,0.588,0.293,0.079,0.181,
instance00470,0.746,0.579,0.454,0.323,0.057,0.216,1.186,1.243,0.541,0.298,0.086,0.173,
instance00476,0.738,0.559,0.445,0.312,0.048,0.222,1.275,1.288,0.583,0.288,0.077,0.172,
instance00480,0.771,0.579,0.487,0.301,0.063,0.210,1.279,1.309,0.592,0.293,0.071,0.186,
instance00481,0.763,0.576,0.450,0.302,0.062,0.208,1.263,1.285,0.587,0.285,0.083,0.165,
instance00492,0.755,0.584,0.444,0.303,0.056,0.210,1.241,1.280,0.581,0.284,0.067,0.179,
instance00495,0.763,0.560,0.468,0.317,0.055,0.226,1.187,1.238,0.521,0.299,0.072,0.187,
