instance00022.smt2; sat, 0: "" 
instance00049.smt2; sat, 0: "" 
instance00052.smt2; sat, 0: "" 
instance00055.smt2; sat, 0: "" 
instance00064.smt2; unsat 
instance00073.smt2; unsat 
instance00075.smt2; sat, 0: "" 
instance00076.smt2; sat, 0: "" 
instance00079.smt2; unsat 
instance00086.smt2; unsat 
instance00089.smt2; sat, 0: "" 
instance00097.smt2; sat, 0: "" 
instance00106.smt2; unsat 
instance00115.smt2; sat, 0: "" 
instance00141.smt2; unsat 
instance00154.smt2; unsat 
instance00159.smt2; sat, 0: "//jorg.html/U_" 
instance00180.smt2; unsat 
instance00185.smt2; unsat 
instance00186.smt2; unsat 
instance00209.smt2; unsat 
instance00214.smt2; unsat 
instance00217.smt2; unsat 
instance00219.smt2; sat, 0: "" 
instance00228.smt2; unsat 
instance00248.smt2; unsat 
instance00259.smt2; sat, 0: "" 
instance00285.smt2; sat, 0: "" 
instance00294.smt2; sat, 0: "" 
instance00302.smt2; unsat 
instance00316.smt2; unsat 
instance00323.smt2; sat, 0: "" 
instance00328.smt2; sat, 0: "" 
instance00332.smt2; sat, 0: "" 
instance00339.smt2; sat, 0: "" 
instance00349.smt2; unsat 
instance00355.smt2; unsat 
instance00363.smt2; sat, 0: "" 
instance00375.smt2; sat, 0: "" 
instance00380.smt2; unsat 
instance00394.smt2; unsat 
instance00398.smt2; sat, 0: "" 
instance00400.smt2; unsat 
instance00404.smt2; sat, 0: "" 
instance00406.smt2; unsat 
instance00418.smt2; sat, 0: "" 
instance00430.smt2; sat, 0: "/______/_" 
instance00435.smt2; sat, 0: "" 
instance00463.smt2; sat, 0: "" 
instance00470.smt2; sat, 0: "" 
instance00476.smt2; unsat 
instance00480.smt2; sat, 0: "" 
instance00481.smt2; unsat 
instance00492.smt2; unsat 
instance00495.smt2; unsat 
instance00496.smt2; unsat 
instance00497.smt2; sat, 0: "" 
instance00501.smt2; sat, 0: "" 
instance00519.smt2; sat, 0: "/.exe/U_" 
instance00525.smt2; sat, 0: "" 
instance00530.smt2; unsat 
instance00538.smt2; sat, 0: "" 
instance00586.smt2; unsat 
instance00588.smt2; sat, 0: "" 
instance00609.smt2; unsat 
instance00611.smt2; sat, 0: "_________Furax_" 
instance00617.smt2; unsat 
instance00630.smt2; sat, 0: "" 
instance00640.smt2; unsat 
instance00642.smt2; unsat 
instance00647.smt2; unsat 
instance00660.smt2; sat, 0: "" 
instance00661.smt2; unsat 
instance00676.smt2; sat, 0: "" 
instance00677.smt2; sat, 0: "" 
instance00679.smt2; sat, 0: "" 
instance00686.smt2; unsat 
instance00689.smt2; sat, 0: "" 
instance00713.smt2; sat, 0: "" 
instance00714.smt2; sat, 0: "" 
instance00715.smt2; sat, 0: "" 
instance00722.smt2; unsat 
instance00730.smt2; sat, 0: "" 
instance00731.smt2; sat, 0: "" 
instance00740.smt2; unsat 
instance00742.smt2; unsat 
instance00765.smt2; sat, 0: "" 
instance00774.smt2; unsat 
instance00776.smt2; sat, 0: "" 
instance00777.smt2; sat, 0: "" 
instance00782.smt2; sat, 0: "" 
instance00784.smt2; unsat 
instance00793.smt2; sat, 0: "" 
instance00801.smt2; sat, 0: "" 
instance00804.smt2; sat, 0: "" 
instance00820.smt2; sat, 0: "" 
instance00827.smt2; unsat 
instance00845.smt2; sat, 0: "" 
instance00847.smt2; unsat 
instance00859.smt2; sat, 0: "" 
instance00860.smt2; sat, 0: "" 
instance00861.smt2; sat, 0: "" 
