,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
equalsSymbolic_00,0.873,0.984,0.453,0.431,0.069,0.203,1.473,1.554,0.557,0.625,0.086,0.172,
equalsSymbolic_01,0.868,0.974,0.427,0.418,0.057,0.208,1.466,1.543,0.567,0.611,0.076,0.179,
equalsSymbolic_02,0.887,1.183,0.514,0.446,0.076,0.206,1.537,1.747,0.583,0.349,0.113,0.173,
equalsSymbolic_03,0.880,1.162,0.454,0.420,0.060,0.202,1.426,1.530,0.538,0.314,0.081,0.191,
equalsSymbolic_04,1.912,1.072,0.460,0.427,0.074,0.200,1.639,2.176,0.594,0.308,0.088,0.174,
equalsSymbolic_05,0.863,0.989,0.449,0.396,0.060,0.202,1.626,2.023,0.632,0.440,0.078,0.184,
equalsSymbolic_06,0.881,0.991,0.451,0.317,0.060,0.209,1.460,1.747,0.617,0.293,0.073,0.189,
equalsSymbolic_07,0.894,1.326,0.482,0.306,0.061,0.212,0.000,0.000,0.000,0.285,0.072,0.183,
equalsSymbolic_08,0.886,1.228,0.479,0.312,0.082,0.199,1.134,1.279,0.478,0.291,0.077,0.172,
equalsSymbolic_09,0.852,1.056,0.448,0.310,0.069,0.205,1.213,1.412,0.535,0.298,0.082,0.172,
equalsSymbolic_10,0.932,1.467,0.509,0.294,0.054,0.209,1.607,2.470,0.647,0.286,0.079,0.169,
equalsSymbolic_11,0.884,1.295,0.484,0.329,0.063,0.225,1.132,1.265,0.485,0.286,0.073,0.179,
equalsSymbolic_12,0.857,1.098,0.432,0.322,0.075,0.208,1.434,1.896,0.615,0.294,0.072,0.178,
equalsSymbolic_13,0.861,1.124,0.459,0.316,0.070,0.207,1.589,2.539,0.605,0.309,0.084,0.170,
equalsSymbolic_14,0.896,1.152,0.479,0.321,0.064,0.218,1.677,2.650,0.688,0.297,0.077,0.182,
equalsSymbolic_15,0.858,1.109,0.444,0.308,0.069,0.207,1.398,1.927,0.550,0.299,0.079,0.171,
