file	mas	cvc5
beasties01	0.871	0.502
beasties02	1.005	0.774
beasties03	0.969	2.846
beasties04	1.189	7.187
beasties05	0.997	3.255
beasties06	0.903	0.796
beasties07	0.923	1.271
beasties08	0.854	0.487
beasties09	1.126	2.954
beasties10	0.846	0.497
beasties11	0.826	0.449
beasties12	0.828	0.392
beasties13	0.831	0.357
beasties14	0.822	0.372
beasties15	1.16	5.724
beasties16	0.923	1.881
beasties17	0.887	1.604
beasties18	0.966	3.399
beasties19	0.904	2.127
beasties20	0.922	2.452
beasties21	0.928	1.168
beasties22	0.925	2.159
beasties23	0.911	1.427
beasties24	1.156	4.496
beasties25	0.95	2.42
beasties26	0.913	0.804
beasties27	0.925	2.669
beasties28	0.891	1.114
beasties29	0.935	1.92
beasties30	0.912	1.279
jxml2sql04	1.146	529.465
jxml2sql07	1.185	574.744
jxml2sql09	1.13	603.452
jxml2sql14	0.85	40.336
jxml2sql15	1.142	577.094
jxml2sql16	1.092	571.685
jxml2sql18	1.401	558.43
jxml2sql19	1.063	527.466
jxml2sql20	1.088	575.882
jxml2sql21	1.18	734.263
jxml2sql22	0.893	102.197
jxml2sql23	1.166	586.385
jxml2sql24	1.098	614.179
jxml2sql25	1.053	512.777
jxml2sql26	1.142	681.564
jxml2sql27	1.152	906.95
jxml2sql28	1.116	591.238
jxml2sql29	1.198	542.857
jxml2sql30	1.109	545.15
jxml2sql31	1.101	613.203
jxml2sql32	1.045	617.366
jxml2sql33	1.119	575.651
jxml2sql34	1.064	613.299
mathQuizGame01	1.157	78.143
mathQuizGame02	1.056	86.103
mathQuizGame03	0.824	23.975
mathQuizGame04	1.01	25.405
mathQuizGame09	0.83	26.654
mathQuizGame10	0.83	16.504
mathQuizGame12	0.96	18.07
mathQuizGame13	1.21	34.689
mathQuizGame14	0.96	19.893
mathQuizGame15	1.22	34.801
mathQuizGame16	0.94	16.593
mathQuizGame17	1.21	4.458
mathQuizGame19	0.98	4.842
mathQuizGame20	1.66	50.154
mathQuizGame21	1.01	32.103
mathQuizGame22	1.41	51.41
mathQuizGame23	0.97	45.315
mathQuizGame24	1.27	48.314
mathQuizGame26	1.00	23.554
mathQuizGame27	1.43	47.223
mathQuizGame28	0.99	5.764
mathQuizGame29	1.28	37.882
mathQuizGame30	0.95	25.949
mathQuizGame31	1.27	40.678
