filenames	mas	ostrich
beasties01	1.437	7.608
beasties02	1.686	7.52
beasties03	2.504	9.478
beasties04	3.108	11.443
beasties05	2.336	8.886
beasties06	1.642	7.512
beasties07	1.713	7.887
beasties08	1.325	6.63
beasties09	2.459	9.681
beasties10	1.28	6.669
beasties11	1.319	6.677
beasties12	1.246	6.786
beasties13	1.152	6.152
beasties14	1.247	7.783
beasties15	2.069	11.872
beasties16	1.484	8.536
beasties17	1.469	8.672
beasties18	1.59	9.24
beasties19	1.489	8.642
beasties20	1.619	8.811
beasties21	1.442	8.074
beasties22	1.51	8.458
beasties23	1.401	8.173
beasties24	1.825	11.638
beasties25	1.633	9.012
beasties26	1.404	7.742
beasties27	1.649	8.983
beasties28	1.461	8.207
beasties29	1.609	8.726
beasties30	1.511	8.41
jxml2sql04	3.442	61.309
jxml2sql07	3.363	64.028
jxml2sql09	3.28	62.237
jxml2sql14	1.462	14.674
jxml2sql15	3.374	56.573
jxml2sql16	3.311	60.381
jxml2sql18	3.342	66.884
jxml2sql19	3.291	60.55
jxml2sql20	3.247	58.809
jxml2sql21	3.298	61.663
jxml2sql22	1.888	24.669
jxml2sql23	3.125	57.405
jxml2sql24	3.332	59.657
jxml2sql25	3.119	52.56
jxml2sql26	3.585	65.205
jxml2sql27	3.328	62.518
jxml2sql28	3.46	67.132
jxml2sql29	3.657	77.615
jxml2sql30	3.303	62.668
jxml2sql31	3.24	61.16
jxml2sql32	3.421	61.386
jxml2sql33	3.37	62.423
jxml2sql34	3.291	61.279
mathQuizGame01	3.433	454.225
mathQuizGame02	2.937	229.438
mathQuizGame03	1.217	5.724
mathQuizGame04	2	58.681
mathQuizGame09	1.262	5.768
mathQuizGame10	1.344	89.138
mathQuizGame12	2.17	233.665
mathQuizGame13	4.233	949.437
mathQuizGame14	2.112	229.412
mathQuizGame15	4.332	889.852
mathQuizGame16	2.062	247.577
mathQuizGame17	3.357	662.097
mathQuizGame19	2.422	230.816
mathQuizGame20	7.364
mathQuizGame21	2.498	247.442
mathQuizGame22	4.729	505.814
mathQuizGame23	2.457	236.064
mathQuizGame24	4.381	499.854
mathQuizGame26	2.622	250.36
mathQuizGame27	6.015
mathQuizGame28	2.441	244.642
mathQuizGame29	4.065	508.4
mathQuizGame30	2.338	243.316
mathQuizGame31	4.265	701.027
