not-contains-1-4-5-116: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-None-5-6-114: str.in_re, str.to_re, str.++, re.*, 
diseq-None-3-6-101: str.in_re, str.to_re, str.++, re.*, 
diseq-None-3-6-109: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-4-5-13: str.contains, str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-134: str.contains, str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-121: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-1-3-5-115: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-3-6-129: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-None-3-6-112: str.in_re, str.to_re, str.++, re.*, 
diseq-1-5-5-110: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-4-5-120: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-1-5-5-105: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-110: str.contains, str.in_re, str.to_re, str.++, re.*, 
not-contains-1-4-5-113: str.contains, str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-0: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-None-3-6-1: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-124: str.contains, str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-133: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-None-5-6-103: str.in_re, str.to_re, str.++, re.*, 
diseq-None-5-6-111: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-4-6-110: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-1-4-5-101: str.in_re, str.to_re, str.++, re.*, 
diseq-1-3-5-0: str.in_re, str.to_re, str.++, re.*, 
diseq-1-5-6-115: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-1: str.contains, str.in_re, str.to_re, str.++, re.*, 
not-contains-1-4-6-127: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-None-4-5-107: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-5-6-125: str.contains, str.in_re, str.to_re, str.++, re.*, 
diseq-None-4-5-10: str.in_re, str.to_re, str.++, re.*, 
not-contains-1-4-5-122: str.contains, str.in_re, str.to_re, str.++, re.*, 
