unsolved_pcp_instance_16: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_183: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_440: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_68: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_492: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_382: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_408: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_190: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_36: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_291: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_223: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_3: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_110: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_364: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_156: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_144: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_67: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_255: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_468: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_279: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_185: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_345: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_79: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_282: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_70: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_172: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_53: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_267: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
unsolved_pcp_instance_311: str.replace_all, re.+, str.in_re, str.to_re, re.union, 
