benchmark_0249: str.contains, str.replace_all, 
benchmark_0450: str.contains, str.replace_all, 
benchmark_0040: str.contains, str.replace_all, 
benchmark_0203: str.contains, str.replace_all, 
benchmark_0363: str.contains, str.replace_all, 
benchmark_0101: str.contains, str.replace_all, 
benchmark_0422: str.contains, str.replace_all, 
benchmark_0299: str.contains, str.replace_all, 
benchmark_0044: str.contains, str.replace_all, 
benchmark_0482: str.contains, str.replace_all, 
benchmark_0306: str.contains, str.replace_all, 
benchmark_0050: str.contains, str.replace_all, 
benchmark_0091: str.contains, str.replace_all, 
benchmark_0257: str.contains, str.replace_all, 
benchmark_0042: str.contains, str.replace_all, 
benchmark_0089: str.contains, str.replace_all, 
benchmark_0066: str.contains, str.replace_all, 
benchmark_0230: str.contains, str.replace_all, 
benchmark_0103: str.contains, str.replace_all, 
benchmark_0176: str.contains, str.replace_all, 
benchmark_0401: str.contains, str.replace_all, 
benchmark_0172: str.contains, str.replace_all, 
benchmark_0341: str.contains, str.replace_all, 
benchmark_0392: str.contains, str.replace_all, 
benchmark_0030: str.contains, str.replace_all, 
benchmark_0359: str.contains, str.replace_all, 
benchmark_0175: str.contains, str.replace_all, 
benchmark_0415: str.contains, str.replace_all, 
benchmark_0491: str.contains, str.replace_all, 
benchmark_0227: str.contains, str.replace_all, 
benchmark_0282: str.contains, str.replace_all, 
benchmark_0319: str.contains, str.replace_all, 
benchmark_0164: str.contains, str.replace_all, 
benchmark_0445: str.contains, str.replace_all, 
benchmark_0167: str.contains, str.replace_all, 
benchmark_0343: str.contains, str.replace_all, 
benchmark_0457: str.contains, str.replace_all, 
benchmark_0179: str.contains, str.replace_all, 
benchmark_0467: str.contains, str.replace_all, 
benchmark_0454: str.contains, str.replace_all, 
benchmark_0161: str.contains, str.replace_all, 
benchmark_0106: str.contains, str.replace_all, 
benchmark_0021: str.contains, str.replace_all, 
benchmark_0156: str.contains, str.replace_all, 
benchmark_0399: str.contains, str.replace_all, 
benchmark_0307: str.contains, str.replace_all, 
benchmark_0317: str.contains, str.replace_all, 
benchmark_0155: str.contains, str.replace_all, 
benchmark_0423: str.contains, str.replace_all, 
benchmark_0364: str.contains, str.replace_all, 
benchmark_0334: str.contains, str.replace_all, 
benchmark_0497: str.contains, str.replace_all, 
benchmark_0192: str.contains, str.replace_all, 
benchmark_0417: str.contains, str.replace_all, 
benchmark_0391: str.contains, str.replace_all, 
benchmark_0006: str.contains, str.replace_all, 
benchmark_0406: str.contains, str.replace_all, 
benchmark_0349: str.contains, str.replace_all, 
benchmark_0486: str.contains, str.replace_all, 
benchmark_0123: str.contains, str.replace_all, 
benchmark_0431: str.contains, str.replace_all, 
benchmark_0024: str.contains, str.replace_all, 
benchmark_0138: str.contains, str.replace_all, 
benchmark_0027: str.contains, str.replace_all, 
benchmark_0247: str.contains, str.replace_all, 
benchmark_0046: str.contains, str.replace_all, 
benchmark_0120: str.contains, str.replace_all, 
benchmark_0193: str.contains, str.replace_all, 
benchmark_0174: str.contains, str.replace_all, 
benchmark_0198: str.contains, str.replace_all, 
benchmark_0036: str.contains, str.replace_all, 
benchmark_0153: str.contains, str.replace_all, 
benchmark_0274: str.contains, str.replace_all, 
benchmark_0093: str.contains, str.replace_all, 
benchmark_0189: str.contains, str.replace_all, 
benchmark_0068: str.contains, str.replace_all, 
benchmark_0012: str.contains, str.replace_all, 
benchmark_0246: str.contains, str.replace_all, 
benchmark_0358: str.contains, str.replace_all, 
benchmark_0039: str.contains, str.replace_all, 
benchmark_0296: str.contains, str.replace_all, 
benchmark_0250: str.contains, str.replace_all, 
benchmark_0074: str.contains, str.replace_all, 
benchmark_0322: str.contains, str.replace_all, 
benchmark_0206: str.contains, str.replace_all, 
benchmark_0328: str.contains, str.replace_all, 
benchmark_0184: str.contains, str.replace_all, 
benchmark_0142: str.contains, str.replace_all, 
benchmark_0049: str.contains, str.replace_all, 
benchmark_0372: str.contains, str.replace_all, 
benchmark_0128: str.contains, str.replace_all, 
benchmark_0347: str.contains, str.replace_all, 
benchmark_0095: str.contains, str.replace_all, 
benchmark_0463: str.contains, str.replace_all, 
benchmark_0010: str.contains, str.replace_all, 
benchmark_0386: str.contains, str.replace_all, 
benchmark_0134: str.contains, str.replace_all, 
benchmark_0025: str.contains, str.replace_all, 
benchmark_0488: str.contains, str.replace_all, 
benchmark_0229: str.contains, str.replace_all, 
benchmark_0033: str.contains, str.replace_all, 
benchmark_0350: str.contains, str.replace_all, 
benchmark_0004: str.contains, str.replace_all, 
benchmark_0304: str.contains, str.replace_all, 
benchmark_0447: str.contains, str.replace_all, 
benchmark_0294: str.contains, str.replace_all, 
benchmark_0345: str.contains, str.replace_all, 
benchmark_0125: str.contains, str.replace_all, 
benchmark_0133: str.contains, str.replace_all, 
benchmark_0171: str.contains, str.replace_all, 
benchmark_0361: str.contains, str.replace_all, 
benchmark_0115: str.contains, str.replace_all, 
benchmark_0311: str.contains, str.replace_all, 
benchmark_0208: str.contains, str.replace_all, 
benchmark_0205: str.contains, str.replace_all, 
benchmark_0102: str.contains, str.replace_all, 
benchmark_0058: str.contains, str.replace_all, 
benchmark_0360: str.contains, str.replace_all, 
benchmark_0370: str.contains, str.replace_all, 
benchmark_0455: str.contains, str.replace_all, 
benchmark_0051: str.contains, str.replace_all, 
benchmark_0122: str.contains, str.replace_all, 
benchmark_0239: str.contains, str.replace_all, 
benchmark_0297: str.contains, str.replace_all, 
benchmark_0270: str.contains, str.replace_all, 
benchmark_0055: str.contains, str.replace_all, 
benchmark_0374: str.contains, str.replace_all, 
benchmark_0088: str.contains, str.replace_all, 
benchmark_0252: str.contains, str.replace_all, 
benchmark_0365: str.contains, str.replace_all, 
benchmark_0377: str.contains, str.replace_all, 
benchmark_0494: str.contains, str.replace_all, 
benchmark_0145: str.contains, str.replace_all, 
benchmark_0188: str.contains, str.replace_all, 
benchmark_0262: str.contains, str.replace_all, 
benchmark_0160: str.contains, str.replace_all, 
benchmark_0204: str.contains, str.replace_all, 
benchmark_0124: str.contains, str.replace_all, 
benchmark_0022: str.contains, str.replace_all, 
benchmark_0407: str.contains, str.replace_all, 
benchmark_0071: str.contains, str.replace_all, 
benchmark_0079: str.contains, str.replace_all, 
benchmark_0087: str.contains, str.replace_all, 
benchmark_0396: str.contains, str.replace_all, 
benchmark_0260: str.contains, str.replace_all, 
benchmark_0371: str.contains, str.replace_all, 
benchmark_0416: str.contains, str.replace_all, 
benchmark_0220: str.contains, str.replace_all, 
benchmark_0435: str.contains, str.replace_all, 
benchmark_0330: str.contains, str.replace_all, 
benchmark_0404: str.contains, str.replace_all, 
benchmark_0421: str.contains, str.replace_all, 
benchmark_0403: str.contains, str.replace_all, 
benchmark_0448: str.contains, str.replace_all, 
benchmark_0150: str.contains, str.replace_all, 
benchmark_0154: str.contains, str.replace_all, 
benchmark_0290: str.contains, str.replace_all, 
benchmark_0086: str.contains, str.replace_all, 
benchmark_0419: str.contains, str.replace_all, 
benchmark_0005: str.contains, str.replace_all, 
benchmark_0368: str.contains, str.replace_all, 
