query4399: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3386: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query3252: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3367: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3445: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query7487: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3167: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query4933: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3458: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query9747: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3296: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3102: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query3465: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query6917: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3487: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3555: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3225: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query4860: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3133: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query3712: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query9050: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query4114: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query3332: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3506: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query5700: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3489: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3239: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3358: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3694: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query10684: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query8867: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query3591: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query6203: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3873: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query8045: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query6620: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3979: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query5289: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query3516: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query10584: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query7820: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query9063: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3137: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query5041: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query4443: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3541: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query7723: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3143: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3359: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
noree-query5519: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query6637: str.in_re, str.to_re, re.all, str.++, re.++, re.allchar, 
query6136: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3113: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query6780: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query3574: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query7561: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
query7958: str.in_re, re.all, str.to_re, str.++, re.++, re.allchar, 
