,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
equalsSymbolic_00,1.658,0.607,0.462,0.453,0.061,0.213,1.562,1.892,0.647,0.474,0.086,0.170,
equalsSymbolic_01,1.658,0.586,0.453,0.306,0.052,0.226,1.445,1.469,0.582,0.289,0.077,0.188,
equalsSymbolic_02,0.821,0.586,0.473,0.310,0.076,0.215,1.854,3.121,0.727,0.323,0.066,0.188,
equalsSymbolic_03,0.822,0.605,0.449,0.300,0.068,0.209,1.513,1.869,0.614,0.292,0.075,0.184,
equalsSymbolic_04,0.815,0.600,0.449,0.296,0.066,0.205,1.504,1.833,0.622,0.288,0.076,0.186,
equalsSymbolic_05,0.773,0.613,0.418,0.289,0.066,0.200,1.464,1.846,0.599,0.290,0.086,0.178,
equalsSymbolic_06,0.764,0.579,0.451,0.299,0.063,0.211,1.464,1.750,0.673,0.286,0.083,0.181,
equalsSymbolic_07,1.016,0.609,0.453,0.306,0.059,0.219,2.588,8.727,1.299,0.280,0.082,0.173,
equalsSymbolic_08,0.767,0.651,0.459,0.314,0.075,0.218,1.113,1.121,0.542,0.282,0.080,0.171,
equalsSymbolic_09,0.761,0.581,0.435,0.302,0.085,0.202,1.144,1.155,0.553,0.282,0.078,0.181,
equalsSymbolic_10,0.772,0.611,0.434,0.295,0.065,0.204,1.470,1.788,0.645,0.278,0.077,0.182,
equalsSymbolic_11,0.828,0.915,0.503,0.299,0.075,0.199,1.146,1.128,0.575,0.282,0.086,0.171,
equalsSymbolic_12,0.777,0.610,0.458,0.325,0.070,0.221,1.403,1.646,0.649,0.277,0.079,0.176,
equalsSymbolic_13,0.764,0.627,0.443,0.304,0.071,0.206,1.543,2.221,0.654,0.299,0.087,0.184,
equalsSymbolic_14,0.765,0.621,0.442,0.307,0.071,0.214,1.533,2.242,0.661,0.297,0.093,0.167,
equalsSymbolic_15,0.787,0.603,0.472,0.317,0.077,0.213,1.346,1.655,0.622,0.267,0.081,0.164,
