,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
beasties01,0.871,1.126,0.539,0.502,0.073,0.206,3.181,6.329,1.236,2.759,2.525,0.206,
beasties02,1.005,1.115,0.555,0.774,0.526,0.208,2.327,6.188,1.234,1.359,1.133,0.200,
beasties03,0.969,1.688,0.621,2.846,2.565,0.226,2.703,8.173,1.471,3.384,3.103,0.251,
beasties04,1.189,2.510,0.798,7.187,6.877,0.253,2.929,9.751,1.662,8.345,7.994,0.313,
beasties05,0.997,1.556,0.590,3.255,2.985,0.223,2.530,7.486,1.206,3.702,3.444,0.227,
beasties06,0.903,1.147,0.485,0.796,0.514,0.209,2.329,6.137,1.103,1.052,0.822,0.199,
beasties07,0.923,1.149,0.547,1.271,1.001,0.232,2.407,6.608,1.313,2.781,2.518,0.233,
beasties08,0.854,0.817,0.483,0.487,0.218,0.226,2.117,5.382,0.920,0.525,0.319,0.184,
beasties09,1.126,1.779,0.639,2.954,2.692,0.214,2.600,7.868,1.331,6.696,6.385,0.269,
beasties10,0.846,0.834,0.466,0.497,0.248,0.214,2.177,5.542,1.117,0.446,0.248,0.174,
beasties11,0.826,0.855,0.462,0.449,0.202,0.214,2.219,5.594,1.142,0.487,0.268,0.193,
beasties12,0.828,0.772,0.456,0.392,0.144,0.213,2.117,5.474,1.012,0.852,0.625,0.196,
beasties13,0.831,0.707,0.483,0.357,0.103,0.214,2.148,5.230,1.044,0.330,0.112,0.198,
beasties14,0.822,0.815,0.454,0.372,0.116,0.216,2.340,6.713,1.016,0.578,0.355,0.188,
beasties15,1.160,2.629,0.845,5.724,5.418,0.238,3.026,10.407,1.706,18.450,17.980,0.397,
beasties16,0.923,1.273,0.568,1.881,1.629,0.210,2.549,7.152,1.341,4.461,4.179,0.253,
beasties17,0.887,1.239,0.535,1.604,1.338,0.225,2.534,7.073,1.386,4.291,4.035,0.223,
beasties18,0.966,1.617,0.622,3.399,3.125,0.229,2.687,7.921,1.442,9.673,9.307,0.323,
beasties19,0.904,1.256,0.539,2.127,1.860,0.223,2.576,7.423,1.414,5.115,4.836,0.237,
beasties20,0.922,1.463,0.579,2.452,2.166,0.236,2.552,7.538,1.314,4.807,4.534,0.236,
beasties21,0.928,1.168,0.526,1.168,0.892,0.225,2.415,6.886,1.241,2.895,2.650,0.214,
beasties22,0.925,1.321,0.537,2.159,1.887,0.233,2.506,7.447,1.189,5.206,4.909,0.262,
beasties23,0.911,1.177,0.534,1.427,1.171,0.219,2.438,6.785,1.297,2.979,2.731,0.218,
beasties24,1.156,2.403,0.798,4.496,4.221,0.233,2.899,9.758,1.604,13.481,13.078,0.347,
beasties25,0.950,1.623,0.588,2.420,2.140,0.222,2.618,7.528,1.214,7.510,7.185,0.283,
beasties26,0.913,1.163,0.510,0.804,0.532,0.217,2.357,6.540,1.187,2.428,2.198,0.205,
beasties27,0.925,1.329,0.540,2.669,2.376,0.230,2.590,7.789,1.255,7.419,7.098,0.283,
beasties28,0.891,1.138,0.544,1.114,0.845,0.234,2.424,6.758,1.284,2.696,2.447,0.221,
beasties29,0.935,1.573,0.573,1.920,1.597,0.238,2.671,7.548,1.425,5.522,5.222,0.257,
beasties30,0.912,1.314,0.551,1.279,0.983,0.243,2.545,7.543,1.341,4.674,4.402,0.236,
jxml2sql04,1.146,2.441,0.793,529.465,527.632,0.469,26.846,55.127,5.604,,,,
jxml2sql07,1.185,2.583,0.819,574.744,572.539,0.708,26.860,54.397,4.653,,,,
jxml2sql09,1.130,2.473,0.748,603.452,601.378,0.621,30.117,56.709,6.321,,,,
jxml2sql14,0.850,0.976,0.495,40.336,38.908,0.325,3.258,12.483,1.915,1081.092,1076.135,2.364,
jxml2sql15,1.142,2.474,0.784,577.094,575.033,0.584,25.455,51.714,5.232,,,,
jxml2sql16,1.092,2.402,0.788,571.685,569.737,0.504,26.792,54.108,4.888,,,,
jxml2sql18,1.401,2.406,0.814,558.430,556.601,0.435,30.634,57.802,5.370,,,,
jxml2sql19,1.063,2.290,0.677,527.466,525.634,0.481,25.380,53.320,5.336,,,,
jxml2sql20,1.088,2.337,0.768,575.882,573.881,0.495,25.184,52.975,3.761,,,,
jxml2sql21,1.180,2.468,0.801,734.263,731.814,0.648,27.733,54.946,5.345,,,,
jxml2sql22,0.893,1.220,0.533,102.197,101.523,0.361,5.241,21.351,2.479,,,,
jxml2sql23,1.166,2.143,0.744,586.385,584.361,0.611,24.192,53.237,4.119,,,,
jxml2sql24,1.098,2.539,0.767,614.179,612.102,0.492,24.625,51.555,4.598,,,,
jxml2sql25,1.053,2.216,0.724,512.777,511.020,0.461,19.771,46.119,3.932,,,,
jxml2sql26,1.142,2.573,0.736,681.564,679.237,0.684,29.915,58.293,3.764,,,,
jxml2sql27,1.152,2.673,0.823,906.950,903.907,0.707,30.257,56.790,5.565,,,,
jxml2sql28,1.116,2.673,0.775,591.238,589.270,0.459,30.246,59.802,4.961,,,,
jxml2sql29,1.198,2.768,0.856,542.857,540.975,0.521,39.527,70.101,4.602,,,,
jxml2sql30,1.109,2.283,0.806,545.150,543.216,0.534,25.168,53.726,3.977,,,,
jxml2sql31,1.101,2.483,0.767,613.203,611.117,0.608,27.295,56.935,5.523,,,,
jxml2sql32,1.045,2.203,0.785,617.366,615.222,0.652,25.659,53.623,4.080,,,,
jxml2sql33,1.119,2.125,0.694,575.651,573.688,0.512,25.294,53.623,4.051,,,,
jxml2sql34,1.064,2.366,0.738,613.299,611.150,0.670,28.224,58.000,6.233,,,,
mathQuizGame01,1.157,2.809,0.759,78.143,77.574,0.313,369.722,437.247,9.553,1123.270,1116.897,3.676,
mathQuizGame02,1.056,2.192,0.712,86.103,85.519,0.313,179.535,216.481,8.757,,,,
mathQuizGame03,0.824,0.717,0.507,23.975,23.587,0.290,2.032,4.791,0.926,25.905,25.511,0.288,
mathQuizGame04,1.015,1.404,0.588,25.405,25.031,0.272,35.497,57.338,4.687,87.525,86.768,0.504,
mathQuizGame09,0.832,0.778,0.459,26.654,26.259,0.293,2.031,4.932,0.972,42.550,42.054,0.352,
mathQuizGame10,0.832,0.862,0.516,16.504,16.141,0.284,57.506,87.578,4.291,300.470,298.921,0.795,
mathQuizGame12,0.968,1.495,0.590,18.070,17.709,0.288,192.325,230.655,18.171,,,,
mathQuizGame13,1.219,3.147,0.851,34.689,34.280,0.286,1031.652,1150.057,20.204,426.128,423.588,1.505,
mathQuizGame14,0.962,1.525,0.580,19.893,19.544,0.251,187.122,222.219,13.664,,,,
mathQuizGame15,1.222,3.240,0.834,34.801,34.377,0.294,795.641,902.288,18.745,789.988,785.773,2.318,
mathQuizGame16,0.943,1.467,0.575,16.593,16.279,0.243,188.081,228.623,10.754,,,,
mathQuizGame17,1.210,2.767,0.800,34.458,33.985,0.308,599.244,676.720,29.424,249.131,247.474,1.031,
mathQuizGame19,0.980,1.669,0.616,34.842,34.411,0.296,187.646,223.262,11.445,,,,
mathQuizGame20,1.663,5.753,1.095,50.154,49.713,0.285,282.275,323.793,15.363,,,,
mathQuizGame21,1.012,1.696,0.604,32.103,31.693,0.299,189.616,221.450,15.229,,,,
mathQuizGame22,1.412,4.266,0.942,51.410,50.911,0.314,437.297,491.781,11.806,,,,
mathQuizGame23,0.975,1.653,0.579,45.315,44.835,0.318,189.614,229.484,14.498,,,,
mathQuizGame24,1.279,3.533,0.799,48.314,47.840,0.299,442.993,496.812,19.457,,,,
mathQuizGame26,1.009,1.834,0.640,23.554,23.190,0.267,184.374,227.009,6.796,1123.337,1117.454,3.193,
mathQuizGame27,1.431,5.123,0.982,47.223,46.773,0.298,,,,,,,
mathQuizGame28,0.990,1.822,0.666,25.764,25.378,0.292,192.676,226.782,14.776,,,,
mathQuizGame29,1.281,3.346,0.904,37.882,37.466,0.287,439.972,496.191,22.395,292.012,290.068,1.207,
mathQuizGame30,0.952,1.606,0.597,25.949,25.567,0.269,187.758,229.312,12.235,,,,
mathQuizGame31,1.274,2.795,0.830,40.678,40.249,0.295,617.311,687.002,15.775,572.975,569.853,1.720,
