,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
beasties01,0.918,1.613,0.561,0.000,0.000,0.000,2.691,9.926,1.362,3.141,2.646,0.214,
beasties02,0.960,1.773,0.552,0.000,0.000,0.000,2.685,9.339,1.377,1.101,0.727,0.188,
beasties03,0.954,1.761,0.564,0.000,0.000,0.000,2.977,12.254,1.622,4.508,4.184,0.260,
beasties04,0.997,2.052,0.608,0.000,0.000,0.000,3.529,15.550,2.045,5.976,5.626,0.280,
beasties05,1.544,6.063,0.970,0.000,0.000,0.000,3.060,11.339,1.677,3.551,3.255,0.244,
beasties06,0.910,1.541,0.511,0.000,0.000,0.000,2.689,9.580,1.426,1.136,0.875,0.216,
beasties07,0.985,1.936,0.608,0.000,0.000,0.000,2.754,9.804,1.415,1.338,1.082,0.209,
beasties08,0.886,1.108,0.471,0.000,0.000,0.000,2.396,6.962,1.136,0.454,0.214,0.182,
beasties09,1.307,4.699,1.063,0.000,0.000,0.000,3.149,12.662,1.661,4.728,4.406,0.277,
beasties10,0.871,1.085,0.459,0.000,0.000,0.000,2.449,7.465,1.207,0.549,0.278,0.185,
beasties11,0.911,1.369,0.481,0.000,0.000,0.000,2.245,6.727,1.016,0.694,0.472,0.180,
beasties12,0.843,1.175,0.464,0.000,0.000,0.000,2.303,7.274,1.101,0.941,0.671,0.200,
beasties13,0.838,1.056,0.445,0.000,0.000,0.000,2.295,6.381,1.068,0.348,0.105,0.185,
beasties14,0.831,1.083,0.443,0.000,0.000,0.000,2.497,8.478,1.173,0.444,0.217,0.185,
beasties15,0.988,2.486,0.675,0.000,0.000,0.000,3.701,17.945,2.201,10.662,10.226,0.321,
beasties16,0.929,1.485,0.576,0.000,0.000,0.000,2.963,11.209,1.509,2.840,2.570,0.235,
beasties17,0.906,1.623,0.516,0.000,0.000,0.000,2.734,10.999,1.410,2.490,2.221,0.220,
beasties18,1.245,3.597,0.883,0.000,0.000,0.000,3.112,12.303,1.639,3.924,3.635,0.246,
beasties19,0.909,1.515,0.504,0.000,0.000,0.000,2.983,11.438,1.683,2.790,2.542,0.206,
beasties20,1.256,3.609,0.845,0.000,0.000,0.000,3.121,11.435,1.712,4.403,4.131,0.222,
beasties21,0.885,1.336,0.497,0.000,0.000,0.000,2.730,9.767,1.351,2.104,1.858,0.200,
beasties22,0.860,1.447,0.479,0.000,0.000,0.000,2.961,11.175,1.511,3.875,3.594,0.229,
beasties23,0.912,1.572,0.555,0.000,0.000,0.000,2.808,10.087,1.577,2.403,2.131,0.226,
beasties24,1.009,1.992,0.609,0.000,0.000,0.000,3.531,16.013,2.060,10.468,10.108,0.294,
beasties25,1.094,2.910,0.715,0.000,0.000,0.000,2.989,13.484,1.496,6.685,6.354,0.276,
beasties26,0.891,1.368,0.481,0.000,0.000,0.000,2.711,9.155,1.314,1.222,0.986,0.204,
beasties27,0.937,1.682,0.492,0.000,0.000,0.000,3.076,12.063,1.804,4.466,4.161,0.257,
beasties28,1.062,2.201,0.667,0.000,0.000,0.000,2.545,8.712,1.097,1.940,1.690,0.199,
beasties29,1.003,2.104,0.657,0.000,0.000,0.000,3.177,12.393,1.720,5.019,4.712,0.265,
beasties30,0.869,1.479,0.486,0.000,0.000,0.000,2.876,10.552,1.492,3.721,3.445,0.227,
jxml2sql04,4.393,13.318,2.128,0.000,0.000,0.000,2.515,7.929,1.226,0.000,0.000,0.000,
jxml2sql07,4.159,11.777,2.162,0.000,0.000,0.000,2.488,7.869,1.349,0.000,0.000,0.000,
jxml2sql09,4.426,12.682,2.084,0.000,0.000,0.000,2.335,7.719,1.041,0.000,0.000,0.000,
jxml2sql14,1.074,2.649,0.679,0.000,0.000,0.000,2.118,6.159,0.939,199.624,198.163,0.955,
jxml2sql15,3.830,12.834,1.630,0.000,0.000,0.000,2.510,8.118,1.251,0.000,0.000,0.000,
jxml2sql16,4.369,11.934,1.936,0.000,0.000,0.000,2.505,8.525,1.271,0.000,0.000,0.000,
