,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
instance00022,0.52,0.44,0.05,56572,0.05,0.02,0.00,8900,1.89,1.80,0.08,221060,0.06,0.04,0.01,26268,
instance00049,0.51,0.44,0.05,56920,0.03,0.02,0.00,8968,1.79,1.64,0.12,216928,0.07,0.04,0.01,26268,
instance00052,0.51,0.45,0.04,57292,0.04,0.02,0.00,8968,1.88,1.77,0.09,220132,0.06,0.03,0.01,26268,
instance00055,0.51,0.44,0.05,56972,0.04,0.02,0.00,8968,1.68,1.54,0.12,207168,0.06,0.04,0.01,26272,
instance00064,0.49,0.42,0.05,56328,0.04,0.02,0.00,8176,2.01,1.82,0.16,219160,0.06,0.04,0.00,24484,
instance00073,0.49,0.42,0.05,56064,0.13,0.02,0.00,8176,1.85,1.73,0.11,217416,0.07,0.03,0.01,24484,
instance00075,0.52,0.45,0.05,57860,0.04,0.02,0.00,8968,1.83,1.70,0.12,208120,0.15,0.03,0.01,26268,
instance00076,0.53,0.46,0.04,64988,0.04,0.02,0.00,8968,1.67,1.57,0.09,213096,0.06,0.03,0.01,26272,
instance00079,0.52,0.45,0.04,55760,0.03,0.02,0.00,8176,1.81,1.65,0.13,207196,0.06,0.03,0.01,24484,
instance00086,0.46,0.41,0.04,63620,0.04,0.02,0.00,8176,1.80,1.70,0.09,214436,0.08,0.03,0.01,24484,
instance00089,0.47,0.41,0.04,64104,0.04,0.02,0.00,8968,1.94,1.80,0.12,218500,0.06,0.04,0.01,26276,
instance00097,0.50,0.44,0.05,58336,0.05,0.02,0.00,8968,1.83,1.72,0.10,219220,0.06,0.04,0.01,26268,
instance00106,0.47,0.41,0.04,65164,0.03,0.02,0.00,8176,1.83,1.71,0.08,215944,0.06,0.04,0.01,24484,
instance00115,0.47,0.42,0.04,64320,0.03,0.02,0.00,8968,1.82,1.72,0.09,221136,0.06,0.04,0.01,26268,
instance00141,0.51,0.43,0.05,56196,0.03,0.02,0.00,8176,1.78,1.69,0.08,218988,0.06,0.03,0.01,24484,
