instance00022.smt2; sat, 2: "" 
instance00049.smt2; sat, 2: "" 
instance00052.smt2; sat, 2: "" 
instance00055.smt2; sat, 2: "" 
instance00064.smt2; sat, 2: "log={IP:Referer:www.mirarsearch.com.txte2give.comSpywareStrikeConnectedIPSubject:_" 
instance00073.smt2; sat, 2: "sponsor2.ucmore.comUser-Agent:User-Agent:_" 
instance00075.smt2; sat, 2: "" 
instance00076.smt2; sat, 2: "" 
instance00079.smt2; sat, 2: "ApofisAgentFunWebProductsUser-Agent:_" 
instance00086.smt2; sat, 2: "Keylogger-Protoolbarplace.com_" 
instance00089.smt2; sat, 2: "" 
instance00097.smt2; sat, 2: "" 
instance00106.smt2; sat, 2: "FTPHost:User-Agent:User:distID=deskwizz.com_" 
instance00115.smt2; sat, 2: "" 
instance00141.smt2; sat, 2: "CMDLoginExciteSubject:downloadfile.org_" 
instance00154.smt2; sat, 2: "Cookie:AppName/GRSI|Server|_Host:origin=sidefind_" 
instance00159.smt2; sat, 2: "//jorg.html/U_" 
instance00180.smt2; sat, 2: "Host:Host:fhfksjzsfu/ahm.uqsHost:fowclxccdxn/uxwn.ddy_" 
instance00185.smt2; sat, 2: "User-Agent:Host:hasHost:ComputerKeylogger.com_" 
instance00186.smt2; sat, 2: "ProtoSubject:source=IncrediFindProjectAgentHost:Host:Host:_" 
instance00209.smt2; sat, 2: "filename=_Subject:www.adoptim.comreport/bar_pl/chk.fcgi_" 
instance00214.smt2; sat, 2: "InformationHost:badurl.grandstreetinteractive.com_" 
instance00217.smt2; sat, 2: "TM_SEARCH3SearchUser-Agent:as.starware.comM.zipCasinoResults_sq=aolsnssignin_" 
instance00219.smt2; sat, 2: "" 
instance00228.smt2; sat, 2: "Subject:KeyloggerSAHHost:Surveillance_notification_/download/toolbar/locatorstoolbar_" 
instance00248.smt2; sat, 2: "JMailReportgpstool.globaladserver.com_" 
instance00259.smt2; sat, 2: "" 
instance00285.smt2; sat, 2: "" 
instance00294.smt2; sat, 2: "" 
instance00302.smt2; sat, 2: "}{Port:Host:mqnqgijmng/ojNavhelperUser-Agent:_" 
instance00316.smt2; sat, 2: "_Thewebsearch.getmirar.com_" 
instance00323.smt2; sat, 2: "" 
instance00328.smt2; sat, 2: "" 
instance00332.smt2; sat, 2: "" 
instance00339.smt2; sat, 2: "" 
instance00349.smt2; sat, 2: "mPOPUser-Agent:gotS:Users\\PORT=HXLogOnlyMGS-Internal-Web-Manager_" 
instance00355.smt2; sat, 2: "Stablecmemailyxegtd/efcwgUin=PromulGate_" 
instance00363.smt2; sat, 2: "" 
instance00375.smt2; sat, 2: "" 
instance00380.smt2; unsat 
instance00394.smt2; sat, 2: "Windows/client/Blackreportc.goclick.comX-Sender:__" 
instance00398.smt2; sat, 2: "" 
instance00400.smt2; sat, 2: "User-Agent:User-Agent:Report.Host:fhfksjzsfu/ahm.uqs_" 
instance00404.smt2; sat, 2: "" 
instance00406.smt2; sat, 2: "Referer:www.ccnnlc.com___User-Agent:_The_" 
instance00418.smt2; sat, 2: "" 
instance00430.smt2; sat, 2: "/______/_" 
instance00435.smt2; sat, 2: "" 
instance00463.smt2; sat, 2: "" 
instance00470.smt2; sat, 2: "" 
instance00476.smt2; sat, 2: "report</title>Referer:aresflashdownloader.comHost:DeathpioletLOGtowww.searchexpert.com_" 
instance00480.smt2; sat, 2: "" 
instance00481.smt2; sat, 2: "Pass-Onseqepagqfphv/sfdcargo=dnsgpstool.globaladserver.com_" 
instance00492.smt2; sat, 2: "(BDLL)_Googledll?_" 
instance00495.smt2; sat, 2: "User-Agent:X-Mailer:_Host:dcww.dmcast.com_" 
instance00496.smt2; sat, 2: "gdvsotuqwsg/dxt.hdFrom:hirmvtg/ggqh.kqh__" 
instance00497.smt2; sat, 2: "" 
instance00501.smt2; sat, 2: "" 
instance00519.smt2; sat, 2: "/.exe/U_" 
instance00525.smt2; sat, 2: "" 
instance00530.smt2; sat, 2: "Host:Test</chat>ResultsSubject:_" 
instance00538.smt2; sat, 2: "" 
instance00586.smt2; sat, 2: "/cs/pop4/User-Agent:kitwww.borlander.com.cn_" 
instance00588.smt2; sat, 2: "" 
instance00609.smt2; sat, 2: "xbqyosoe/cpvmwww.urlblaze.netconfigINTERNAL.ini_" 
instance00611.smt2; sat, 2: "_________Furax_" 
instance00617.smt2; sat, 2: "PORT=internalcyber_yahoo.comHeaders_" 
instance00630.smt2; sat, 2: "" 
instance00640.smt2; sat, 2: "User-Agent:User-Agent:URLencoderthis|Connected_" 
instance00642.smt2; sat, 2: "DaysLOGHost:Host:}{OS:Host:_" 
instance00647.smt2; sat, 2: "User-Agent:/tba/From:_" 
instance00660.smt2; sat, 2: "" 
instance00661.smt2; sat, 2: "Toolbarverpop.popuptoast.comtvshowticketscount.yok.com_" 
instance00676.smt2; sat, 2: "" 
instance00677.smt2; sat, 2: "" 
instance00679.smt2; sat, 2: "" 
instance00686.smt2; sat, 2: "pass=Referer:Surveillance__" 
instance00689.smt2; sat, 2: "" 
instance00713.smt2; sat, 2: "" 
instance00714.smt2; sat, 2: "" 
instance00715.smt2; sat, 2: "" 
instance00722.smt2; sat, 2: "Subject:LOGX-Mailer:__" 
instance00730.smt2; sat, 2: "" 
instance00731.smt2; sat, 2: "" 
