01_track_100.smt2; timeout 
01_track_101.smt2; timeout 
01_track_102.smt2; sat, 1: "aaa" 2: "" 4: "" 
01_track_103.smt2; timeout 
01_track_104.smt2; sat, 1: "gdcabf" 3: "bicdj" 
01_track_105.smt2; timeout 
01_track_106.smt2; unsat 
01_track_107.smt2; sat, 1: "" 4: "" 5: "ccdbbcbeddebcee" 
01_track_108.smt2; timeout 
01_track_109.smt2; timeout 
01_track_10.smt2; timeout 
01_track_110.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at java.util.Arrays.copyOf(Arrays.java:3181) 	at java.util.ArrayList.grow(ArrayList.java:267) 	at java.util.ArrayList.ensureExplicitCapacity(ArrayList.java:241) 	at java.util.ArrayList.ensureCapacityInternal(ArrayList.java:233) 	at java.util.ArrayList.add(ArrayList.java:464) 	at dk.brics.automaton.MinimizationOperations.initialize(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_111.smt2; 
01_track_112.smt2; sat, 1: "" 3: "a" 
01_track_113.smt2; timeout 
01_track_114.smt2; unsat 
01_track_115.smt2; sat, 1: "" 5: "f" 8: "" 10: "hcfeb" 
01_track_116.smt2; sat, 1: "hhafcdaeefdbcdaegea" 3: "bg" 
01_track_117.smt2; timeout 
01_track_118.smt2; timeout 
01_track_119.smt2; sat, 3: "" 5: "" 7: "" 
01_track_11.smt2; sat, 1: "cadcacdabddadbd" 5: "ddcaccbccaacaadbccababbacc" 
01_track_120.smt2; sat, 1: "cdd" 6: "accfafcdgdefffacfecdfedbagacfgefgea" 7: "beddecfcgegddagccbbbeebcdegadcddbcbcfbadeeadafc" 
01_track_121.smt2; sat, 1: "bbbdcfeaeadabfaaeeadddde" 
01_track_122.smt2; timeout 
01_track_123.smt2; timeout 
01_track_124.smt2; sat, 1: "" 3: "bddcaddgfgadacdgfgbdbccffcecbaefcfegebadbfagecfbdbfa" 
01_track_125.smt2; timeout 
01_track_126.smt2; sat, 1: "chbfad" 6: "abgdecd" 7: "" 
01_track_127.smt2; sat, 2: "" 9: "" 11: "baeaabbecabcb" 
01_track_128.smt2; sat, 2: "" 4: "" 
01_track_129.smt2; sat, 2: "" 4: "" 
01_track_12.smt2; timeout 
01_track_130.smt2; sat, 1: "feeb" 
01_track_131.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_132.smt2; sat, 1: "" 6: "bbdbcdddbbdbdabacc" 8: "cabbcaccdaddbbac" 
01_track_133.smt2; timeout 
01_track_134.smt2; timeout 
01_track_135.smt2; 
01_track_136.smt2; timeout 
01_track_137.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_138.smt2; sat, 1: "gdfggaffadc" 3: "dbggbfea" 
01_track_139.smt2; timeout 
01_track_13.smt2; sat, 1: "jaediebbjgja" 3: "" 
01_track_140.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_141.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_142.smt2; timeout 
01_track_143.smt2; timeout 
01_track_144.smt2; unsat 
01_track_145.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_146.smt2; sat, 1: "haj" 
01_track_147.smt2; sat, 1: "" 4: "dedee" 5: "bfhaffcgchhdbeffga" 
01_track_148.smt2; timeout 
01_track_149.smt2; sat, 1: "f" 6: "" 7: "j" 12: "ch" 
01_track_14.smt2; sat, 1: "" 2: "" 5: "aaaa" 
01_track_150.smt2; timeout 
01_track_151.smt2; sat, 1: "gaaecdbddcfd" 3: "ecfdecdcfaagfaeeaccba" 
01_track_152.smt2; sat, 1: "cffbcdabhgahehfdecfaffdedafgicdacdcgebecagchdccgfacadbahgiag" 
01_track_153.smt2; sat, 1: "ebebcad" 3: "beafceaaefdaeefe" 
01_track_154.smt2; sat, 1: "" 4: "" 5: "f" 6: "" 
01_track_155.smt2; 
01_track_156.smt2; sat, 1: "cbgcdbgbfbgfeacegbcddgagbebgea" 3: "bbfbgegffgedegdfcgebgecgccadgdaefbf" 
01_track_157.smt2; timeout 
01_track_158.smt2; OpenJDK 64-Bit Server VM warning: INFO: os::commit_memory(0x00000005ffecb000, 8588140544, 0) failed; error='Cannot allocate memory' (errno=12) # # There is insufficient memory for the Java Runtime Environment to continue. # Native memory allocation (mmap) failed to map 8588140544 bytes for committing reserved memory. # An error report file with more information is saved as: # /bsuhome/nathanaelsteven/smt-bench/hs_err_pid72876.log 
01_track_159.smt2; timeout 
01_track_15.smt2; timeout 
01_track_160.smt2; sat, 1: "gefiaidbgcafig" 
01_track_161.smt2; timeout 
