,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
sub-matching-unsat-12,2.47,2.04,0.12,421204,17.54,16.43,1.05,1691176,,,,,25.34,18.17,7.10,32388,
sub-matching-sat-13,9.47,8.73,0.27,1168068,9.13,8.39,0.71,1139132,,,,,15.79,10.58,5.17,30520,
sub-matching-sat-20,4.61,3.93,0.22,925768,4.03,3.71,0.30,519848,,,,,7.79,4.99,2.75,27808,
sub-matching-sat-15,12.18,11.37,0.38,1434996,13.01,11.97,1.00,1544756,,,,,21.12,14.31,6.75,31716,
sub-matching-unsat-44,2.64,2.11,0.11,396100,12.40,11.51,0.85,1378872,,,,,19.82,13.71,6.06,31460,
sub-matching-unsat-15,5.70,5.03,0.27,1038564,5.05,4.65,0.39,702864,,,,,10.39,6.37,3.55,28144,
sub-matching-unsat-35,2.53,1.95,0.10,393528,12.36,11.52,0.80,1377324,,,,,19.87,13.60,6.21,31348,
sub-matching-sat-4,7.70,6.92,0.28,1179348,10.60,9.87,0.69,1070332,,,,,16.75,11.74,4.96,30812,
sub-matching-unsat-43,2.44,1.85,0.11,399304,7.15,6.53,0.59,1000568,,,,,13.57,8.79,4.74,28820,
sub-matching-sat-21,2.09,1.55,0.07,242336,6.61,6.23,0.36,631324,,,,,10.82,7.56,3.22,28272,
sub-matching-unsat-5,5.11,4.40,0.21,916568,4.64,4.27,0.35,579612,,,,,8.68,5.67,2.99,27792,
sub-matching-sat-14,2.29,1.73,0.09,338552,5.41,4.97,0.43,735768,,,,,10.45,6.81,3.57,28132,
sub-matching-sat-42,2.75,2.12,0.09,318400,6.17,5.70,0.45,769864,,,,,11.50,7.72,3.75,28540,
sub-matching-unsat-28,2.54,1.95,0.09,323336,10.77,10.11,0.62,997820,,,,,16.16,11.48,4.64,30544,
sub-matching-unsat-1,2.41,1.88,0.12,394168,7.33,6.75,0.55,994044,,,,,13.80,9.06,4.69,28884,
sub-matching-sat-25,16.58,15.72,0.33,1452924,17.73,16.78,0.90,1566908,,,,,24.99,18.22,6.70,32092,
sub-matching-sat-6,8.01,7.29,0.23,1035416,6.93,6.36,0.55,914048,,,,,13.62,8.61,4.01,28880,
sub-matching-sat-32,1.99,1.55,0.07,229012,5.02,4.66,0.34,565544,,,,,9.12,6.04,2.94,28092,
sub-matching-sat-22,4.60,4.06,0.19,719680,3.16,2.96,0.19,350640,,,,,5.43,3.77,1.63,26716,
sub-matching-sat-17,15.84,15.13,0.33,1569756,18.15,17.00,1.10,1871248,,,,,25.87,18.80,7.00,32764,
sub-matching-sat-7,13.87,13.02,0.31,1305524,14.57,13.64,0.89,1456784,,,,,21.60,15.36,6.18,31648,
