,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
sub-matching-unsat-12,,,,,19.36,18.15,1.14,1689352,,,,,23.56,18.67,4.83,32388,
sub-matching-sat-13,,,,,10.05,9.29,0.71,1138828,,,,,13.26,10.06,3.16,30520,
sub-matching-sat-20,,,,,4.52,4.14,0.36,519552,,,,,5.88,4.51,1.36,27808,
sub-matching-sat-15,,,,,13.96,12.92,0.98,1544472,,,,,18.60,14.15,4.40,31716,
sub-matching-unsat-44,1.45,1.37,0.06,148652,13.24,12.26,0.92,1376612,,,,,17.80,13.72,4.03,31460,
sub-matching-unsat-15,,,,,5.66,5.19,0.43,700516,,,,,7.49,5.56,1.90,28144,
sub-matching-unsat-35,1.77,1.67,0.07,178788,13.39,12.46,0.87,1375088,,,,,17.96,13.78,4.13,31348,
sub-matching-sat-4,,,,,11.49,10.72,0.72,1070064,,,,,14.28,11.29,2.95,30812,
sub-matching-unsat-43,,,,,7.99,7.34,0.61,998296,,,,,11.09,8.27,2.79,28820,
sub-matching-sat-21,,,,,7.42,6.98,0.40,631040,,,,,8.39,6.59,1.77,28272,
sub-matching-unsat-5,,,,,5.22,4.84,0.34,577340,,,,,6.64,4.94,1.67,27792,
sub-matching-sat-14,,,,,6.06,5.57,0.46,735496,,,,,7.94,5.88,2.04,28132,
sub-matching-sat-42,1.68,1.59,0.07,149704,7.10,6.59,0.48,769572,,,,,9.11,7.09,1.99,28540,
sub-matching-unsat-28,,,,,11.82,11.15,0.63,995584,,,,,13.62,10.90,2.68,30544,
sub-matching-unsat-1,1.38,1.30,0.04,131724,8.34,7.69,0.60,991784,,,,,11.74,8.94,2.70,28884,
sub-matching-sat-25,,,,,19.84,18.71,1.06,1566632,,,,,23.52,18.97,4.48,32092,
sub-matching-sat-6,,,,,7.90,7.32,0.55,913772,,,,,10.52,8.02,2.46,28880,
sub-matching-sat-32,1.42,1.34,0.05,130592,5.81,5.41,0.37,565256,,,,,7.47,5.80,1.64,28092,
sub-matching-sat-22,,,,,3.68,3.45,0.21,350364,,,,,4.74,3.74,0.97,26716,
sub-matching-sat-17,,,,,20.35,19.09,1.19,1870972,,,,,25.25,19.86,5.30,32764,
sub-matching-sat-7,,,,,15.83,14.84,0.94,1456512,,,,,19.34,15.18,4.10,31648,
sub-matching-sat-38,1.83,1.73,0.07,176248,12.78,11.89,0.84,1263980,,,,,16.27,12.60,3.62,31032,
sub-matching-unsat-46,1.17,1.10,0.04,114988,8.90,8.44,0.43,667288,,,,,10.10,8.30,1.77,28796,
sub-matching-unsat-7,,,,,5.89,5.38,0.46,738704,,,,,8.07,6.05,2.00,28244,
sub-matching-unsat-48,1.32,1.24,0.05,114132,3.96,3.44,0.24,387784,,,,,4.56,3.51,1.03,27300,
sub-matching-unsat-40,1.80,1.68,0.09,181808,11.27,9.98,0.82,1256288,,,,,14.23,10.58,3.55,30740,
sub-matching-unsat-21,1.80,1.70,0.06,152840,19.15,18.10,0.93,1367684,,,,,19.73,15.93,3.75,31736,
sub-matching-unsat-19,1.19,1.12,0.04,117676,9.57,9.07,0.46,672660,,,,,10.30,8.45,1.81,28772,
sub-matching-unsat-18,1.19,1.12,0.04,110864,7.77,7.37,0.35,552976,,,,,8.25,6.69,1.53,28516,
sub-matching-sat-8,,,,,17.82,16.71,1.04,1487372,,,,,20.79,16.39,4.34,31840,
sub-matching-sat-16,,,,,6.07,5.52,0.51,865816,,,,,8.92,6.54,2.36,28520,
