,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
beasties01,1.368,0.917,0.520,,,,2.587,6.390,1.218,0.746,0.212,0.205,
beasties02,0.883,1.148,0.538,,,,2.341,6.358,1.162,0.461,0.234,0.183,
beasties03,1.057,1.838,0.666,,,,2.644,8.178,1.300,1.318,1.059,0.220,
beasties04,1.120,2.381,0.727,,,,2.930,9.834,1.609,2.773,2.505,0.222,
beasties05,1.003,1.738,0.598,,,,2.670,7.456,1.430,1.133,0.870,0.229,
beasties06,0.884,1.116,0.526,,,,2.349,6.291,1.221,0.461,0.228,0.189,
beasties07,0.900,1.208,0.505,,,,2.456,6.595,1.292,0.558,0.331,0.193,
beasties08,0.844,0.861,0.464,,,,2.195,5.496,1.134,0.328,0.098,0.191,
beasties09,1.061,1.831,0.628,,,,2.753,8.277,1.404,1.345,1.079,0.234,
beasties10,0.828,0.814,0.466,,,,2.186,5.547,1.122,0.334,0.112,0.178,
beasties11,0.841,0.826,0.493,,,,2.250,5.592,1.085,0.335,0.103,0.186,
beasties12,0.829,0.783,0.463,,,,2.270,5.656,1.130,0.327,0.100,0.182,
beasties13,0.806,0.684,0.468,,,,2.160,5.096,1.056,0.296,0.089,0.175,
beasties14,0.823,0.758,0.489,,,,2.450,6.544,1.239,0.327,0.093,0.185,
beasties15,0.925,1.445,0.624,,,,2.964,10.150,1.722,2.452,2.122,0.301,
beasties16,0.852,0.984,0.500,,,,2.508,7.218,1.318,0.729,0.485,0.196,
beasties17,0.849,0.960,0.509,,,,2.527,7.356,1.316,0.647,0.409,0.204,
beasties18,0.874,1.088,0.502,,,,2.696,7.859,1.381,1.146,0.890,0.221,
beasties19,0.854,0.987,0.502,,,,2.559,7.296,1.346,0.795,0.504,0.209,
beasties20,0.885,1.094,0.525,,,,2.661,7.456,1.355,0.936,0.691,0.208,
beasties21,0.844,0.948,0.494,,,,2.448,6.707,1.367,0.578,0.353,0.193,
beasties22,0.852,1.002,0.508,,,,2.545,7.251,1.207,0.772,0.521,0.210,
beasties23,0.838,0.898,0.503,,,,2.495,6.952,1.221,0.556,0.320,0.210,
beasties24,0.911,1.295,0.530,,,,2.979,9.958,1.680,2.055,1.728,0.287,
beasties25,0.872,1.125,0.508,,,,2.652,7.662,1.350,1.075,0.796,0.230,
beasties26,0.836,0.907,0.497,,,,2.429,6.507,1.235,0.474,0.238,0.191,
beasties27,0.885,1.135,0.514,,,,2.675,7.588,1.395,1.063,0.816,0.212,
beasties28,0.844,0.944,0.517,,,,2.512,6.913,1.294,0.558,0.329,0.193,
beasties29,0.882,1.099,0.510,,,,2.619,7.428,1.298,0.945,0.697,0.204,
beasties30,0.860,1.004,0.507,,,,2.547,7.090,1.320,0.691,0.430,0.220,
jxml2sql04,1.194,2.602,0.840,,,,27.148,55.464,5.845,,,,
jxml2sql07,1.148,2.604,0.759,,,,29.200,57.251,6.777,,,,
jxml2sql09,1.132,2.483,0.797,,,,29.353,56.644,5.593,,,,
jxml2sql14,0.859,0.939,0.523,,,,3.342,12.892,1.782,,,,
jxml2sql15,1.171,2.593,0.781,,,,24.216,51.795,4.778,,,,
jxml2sql16,1.148,2.511,0.800,,,,27.706,54.415,5.966,,,,
jxml2sql18,1.171,2.546,0.796,,,,32.088,60.275,6.609,,,,
jxml2sql19,1.144,2.507,0.784,,,,26.812,54.503,6.047,,,,
jxml2sql20,1.145,2.470,0.777,,,,27.351,53.843,4.966,,,,
jxml2sql21,1.164,2.491,0.807,,,,29.418,55.658,6.005,,,,
jxml2sql22,0.925,1.325,0.563,,,,5.772,21.759,2.910,,,,
jxml2sql23,1.145,2.350,0.775,,,,25.570,52.457,4.948,,,,
jxml2sql24,1.133,2.572,0.760,,,,26.899,53.315,6.342,,,,
jxml2sql25,1.121,2.368,0.751,,,,21.209,47.683,4.877,,,,
jxml2sql26,1.195,2.749,0.836,,,,32.465,60.458,4.747,,,,
jxml2sql27,1.149,2.532,0.796,,,,30.605,57.108,5.410,,,,
jxml2sql28,1.147,2.662,0.798,,,,32.746,61.600,5.532,,,,
jxml2sql29,1.182,2.818,0.839,,,,41.971,71.879,5.736,,,,
jxml2sql30,1.142,2.542,0.761,,,,28.449,56.860,5.808,,,,
jxml2sql31,1.114,2.467,0.773,,,,27.861,55.404,5.756,,,,
jxml2sql32,1.171,2.629,0.792,,,,28.393,55.479,5.907,,,,
jxml2sql33,1.159,2.558,0.812,,,,28.669,57.151,5.272,,,,
jxml2sql34,1.133,2.492,0.799,,,,27.895,55.846,5.433,,,,
mathQuizGame01,1.151,2.666,0.767,,,,382.038,431.001,23.224,,,,
mathQuizGame02,1.118,2.184,0.753,,,,182.194,218.061,11.377,,,,
mathQuizGame03,0.817,0.738,0.479,,,,2.035,4.814,0.910,,,,
mathQuizGame04,0.975,1.454,0.546,,,,35.013,55.344,3.337,,,,
mathQuizGame09,0.831,0.797,0.465,,,,2.035,4.881,0.887,,,,
mathQuizGame10,0.835,0.859,0.485,,,,57.085,84.750,4.388,,,,
mathQuizGame12,0.953,1.597,0.573,,,,182.546,226.509,7.156,,,,
mathQuizGame13,1.271,3.385,0.848,,,,822.678,899.625,49.812,,,,
mathQuizGame14,0.964,1.523,0.589,,,,182.761,222.914,6.498,,,,
mathQuizGame15,1.273,3.477,0.855,,,,769.238,873.496,16.356,,,,
mathQuizGame16,0.944,1.491,0.571,,,,192.012,229.175,18.402,0.476,0.247,0.193,
mathQuizGame17,1.200,2.577,0.780,,,,572.195,627.178,34.919,,,,
mathQuizGame19,1.008,1.776,0.646,,,,184.135,222.512,8.304,0.529,0.281,0.200,
mathQuizGame20,1.796,6.086,1.278,,,,,,,,,,
mathQuizGame21,1.022,1.868,0.630,,,,194.234,225.476,21.966,0.519,0.280,0.196,
mathQuizGame22,1.420,3.842,0.887,,,,435.035,495.772,10.042,,,,
mathQuizGame23,0.996,1.848,0.609,,,,189.749,224.094,11.970,0.494,0.259,0.189,
mathQuizGame24,1.330,3.529,0.852,,,,435.523,490.149,9.705,,,,
mathQuizGame26,1.032,1.954,0.668,,,,194.361,231.494,18.866,,,,
mathQuizGame27,1.534,4.997,1.018,,,,,,,,,,
mathQuizGame28,1.006,1.832,0.609,,,,192.292,228.858,15.784,,,,
mathQuizGame29,1.280,3.229,0.836,,,,433.950,497.560,10.840,0.467,0.237,0.185,
mathQuizGame30,0.975,1.733,0.605,,,,193.623,224.382,18.934,,,,
mathQuizGame31,1.289,3.436,0.829,,,,615.988,675.578,25.449,,,,
