,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
beasties01,1.17,0.77,0.06,85352,0.33,0.03,0.02,8008,6.94,6.71,0.20,431924,,,,,
beasties02,0.87,0.79,0.04,85724,0.39,0.03,0.02,7828,7.25,7.04,0.17,437008,,,,,
beasties03,1.17,1.07,0.06,127064,0.35,0.03,0.02,7884,25.34,24.87,0.38,904176,,,,,
beasties04,1.57,1.29,0.06,154300,0.33,0.03,0.02,7856,35.41,34.91,0.39,938036,,,,,
beasties05,1.10,1.02,0.05,116220,0.36,0.03,0.02,7824,23.10,22.69,0.33,784184,,,,,
beasties06,1.21,0.81,0.04,86268,0.05,0.03,0.01,7912,7.21,7.01,0.17,433120,,,,,
beasties07,1.12,0.86,0.06,93224,0.05,0.03,0.01,7912,8.58,8.28,0.25,645396,,,,,
beasties08,0.84,0.67,0.03,71984,0.09,0.03,0.02,7804,6.37,6.15,0.18,355616,,,,,
beasties09,1.35,1.12,0.06,126704,0.05,0.03,0.00,7912,25.67,25.27,0.32,784536,,,,,
beasties10,0.91,0.62,0.05,70016,0.04,0.04,0.00,7912,6.01,5.81,0.16,341232,,,,,
beasties11,0.78,0.64,0.04,72976,0.07,0.03,0.01,7836,6.13,5.92,0.16,344964,,,,,
beasties12,0.89,0.60,0.05,69364,0.05,0.04,0.00,7912,5.14,4.96,0.14,292012,,,,,
beasties13,0.90,0.54,0.04,66516,0.05,0.04,0.00,7912,4.87,4.71,0.14,276164,,,,,
beasties14,1.00,0.61,0.05,69320,0.04,0.03,0.00,7912,5.04,4.86,0.14,277584,,,,,
beasties15,1.38,1.28,0.07,160240,0.05,0.03,0.00,7912,35.31,33.39,0.40,929060,,,,,
beasties16,1.08,0.89,0.06,100484,0.05,0.03,0.00,7912,19.10,18.71,0.32,757344,,,,,
beasties17,0.95,0.88,0.04,99392,0.05,0.03,0.01,7912,14.41,14.11,0.26,734404,,,,,
beasties18,1.11,1.01,0.05,116272,0.05,0.03,0.00,7912,25.10,24.66,0.35,794284,,,,,
beasties19,1.02,0.90,0.04,101080,0.06,0.03,0.00,8032,21.01,20.62,0.33,754752,,,,,
beasties20,1.23,0.94,0.06,111344,0.08,0.03,0.01,7820,22.34,21.87,0.39,873548,,,,,
beasties21,0.82,0.75,0.03,93076,0.07,0.03,0.01,7968,14.20,13.82,0.31,738976,,,,,
beasties22,0.93,0.84,0.05,103780,0.04,0.03,0.00,7912,20.22,19.85,0.30,756240,,,,,
beasties23,0.88,0.76,0.05,91004,0.04,0.03,0.00,7912,9.19,8.91,0.24,601336,,,,,
beasties24,1.36,1.18,0.06,141320,0.07,0.03,0.00,7860,34.69,34.16,0.43,935952,,,,,
beasties25,1.17,0.98,0.05,116608,0.05,0.03,0.00,7912,25.07,24.64,0.36,786560,,,,,
beasties26,0.75,0.69,0.03,87156,0.04,0.03,0.00,7912,8.71,8.47,0.21,533860,,,,,
beasties27,1.15,0.98,0.06,119076,0.04,0.03,0.00,7912,25.28,24.86,0.35,777896,,,,,
beasties28,0.96,0.80,0.05,93964,0.04,0.03,0.00,7912,9.17,8.89,0.24,603696,,,,,
beasties29,1.02,0.93,0.06,115180,0.05,0.04,0.00,7912,22.95,22.53,0.32,759468,,,,,
beasties30,0.89,0.82,0.04,99452,0.05,0.03,0.00,7912,14.60,14.28,0.26,730296,,,,,
htmlCleaner01,0.79,0.57,0.04,69280,0.05,0.03,0.00,7912,5.49,5.26,0.18,470980,3.54,3.12,0.40,69180,
iText02,1.05,0.99,0.04,97460,0.05,0.03,0.00,7648,3.71,3.45,0.23,585552,3.40,2.39,0.99,29056,
jxml2sql04,1.21,1.13,0.05,163216,0.04,0.03,0.00,7912,19.48,19.00,0.41,877976,,,,,
jxml2sql07,1.16,1.09,0.04,164568,0.04,0.04,0.00,7912,8.90,8.61,0.26,582588,107.22,58.24,6.24,5894072,
jxml2sql09,1.21,1.13,0.05,172216,0.05,0.03,0.01,7912,9.00,8.73,0.24,591188,,,,,
jxml2sql14,0.72,0.65,0.04,79128,0.05,0.03,0.00,7912,5.55,5.36,0.16,285236,103.90,57.89,5.13,8966972,
jxml2sql15,1.17,1.08,0.06,166608,0.05,0.03,0.00,7912,9.02,8.74,0.24,591104,,,,,
jxml2sql16,1.25,1.18,0.06,169192,0.04,0.03,0.00,7912,19.53,19.04,0.42,875308,107.44,58.82,5.97,5918880,
jxml2sql18,1.17,1.08,0.05,171712,0.04,0.03,0.00,7912,9.21,8.92,0.25,619720,107.37,58.18,6.08,5884980,
jxml2sql19,1.37,1.26,0.06,162320,0.04,0.03,0.00,7912,9.07,8.79,0.25,599240,,,,,
