,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
beasties01,0.84,0.77,0.04,86080,0.67,0.64,0.01,27188,6.50,6.21,0.25,311020,0.29,0.19,0.08,29216,
beasties02,0.86,0.80,0.04,85888,0.70,0.67,0.02,27240,6.42,6.15,0.23,312600,0.27,0.19,0.08,29172,
beasties03,1.15,1.07,0.05,129808,3.88,3.83,0.03,47428,8.64,8.24,0.36,470356,0.56,0.37,0.18,30968,
beasties04,1.34,1.26,0.06,149576,12.99,12.84,0.06,63288,20.79,19.92,0.80,859332,0.82,0.55,0.26,32356,
beasties05,1.09,1.02,0.04,116952,5.01,4.95,0.04,44372,8.38,8.00,0.34,460376,0.52,0.37,0.14,30640,
beasties06,0.80,0.75,0.03,85748,0.68,0.65,0.02,26716,6.28,6.00,0.24,300320,0.25,0.17,0.07,29156,
beasties07,0.87,0.80,0.05,92356,1.33,1.30,0.02,30812,6.71,6.43,0.25,327468,0.34,0.23,0.10,29476,
beasties08,0.68,0.62,0.04,71444,0.26,0.25,0.01,18116,5.52,5.22,0.24,262572,0.15,0.09,0.05,28456,
beasties09,1.07,1.01,0.04,127804,4.72,4.66,0.03,47468,8.52,8.11,0.35,461184,0.57,0.39,0.17,30976,
beasties10,0.61,0.56,0.03,71872,0.29,0.27,0.01,18112,5.48,5.18,0.25,264984,0.15,0.10,0.04,28492,
beasties11,0.62,0.56,0.04,71344,0.23,0.21,0.01,18068,5.34,5.05,0.23,271600,0.14,0.11,0.02,28456,
beasties12,0.53,0.49,0.04,66920,0.15,0.13,0.01,16968,5.39,5.11,0.23,265308,0.15,0.10,0.05,28520,
beasties13,0.50,0.45,0.02,64596,0.08,0.07,0.01,12924,5.01,4.74,0.22,260764,0.08,0.06,0.01,28140,
beasties14,0.60,0.54,0.03,70532,0.11,0.10,0.00,15156,10.85,10.27,0.52,698436,0.11,0.07,0.03,28368,
beasties15,1.25,1.17,0.05,157908,10.55,10.39,0.09,63192,14.58,13.85,0.61,868220,0.85,0.58,0.25,32276,
beasties16,0.85,0.79,0.04,100372,2.78,2.74,0.03,35600,7.45,7.11,0.28,374812,0.40,0.27,0.12,29872,
beasties17,0.94,0.88,0.04,99688,1.95,1.91,0.02,34204,7.23,6.91,0.28,353684,0.40,0.26,0.13,29748,
beasties18,1.14,1.07,0.06,119804,5.36,5.31,0.03,45456,13.19,12.48,0.63,851476,0.55,0.39,0.14,30768,
beasties19,0.95,0.88,0.04,103432,2.96,2.91,0.02,35900,7.48,7.12,0.31,383284,0.42,0.28,0.12,29976,
beasties20,1.06,1.00,0.04,111692,3.92,3.85,0.03,41836,8.11,7.75,0.32,435828,0.48,0.34,0.13,30460,
beasties21,0.91,0.85,0.04,92600,1.36,1.33,0.02,30292,6.86,6.51,0.31,333220,0.32,0.22,0.09,29408,
beasties22,1.00,0.94,0.04,103636,3.07,2.91,0.02,35908,7.60,7.24,0.32,393564,0.42,0.29,0.13,29988,
beasties23,0.90,0.83,0.05,90556,1.90,1.86,0.02,29812,6.79,6.43,0.27,331136,0.32,0.22,0.09,29420,
beasties24,1.35,1.27,0.05,144040,7.99,7.85,0.07,57444,14.64,13.92,0.66,882896,0.70,0.51,0.18,31776,
beasties25,1.13,1.05,0.06,115820,3.82,3.76,0.04,43656,8.23,7.85,0.33,433312,0.52,0.35,0.15,30596,
beasties26,0.89,0.82,0.04,88820,0.75,0.69,0.02,27548,6.36,6.09,0.24,299748,0.30,0.20,0.07,29224,
beasties27,1.02,0.95,0.05,118768,3.91,3.86,0.03,43684,8.21,7.84,0.31,437628,0.51,0.37,0.12,30576,
beasties28,0.94,0.87,0.05,93336,1.23,1.18,0.01,29756,6.94,6.61,0.31,340584,0.32,0.22,0.08,29444,
beasties29,1.06,0.98,0.05,112204,2.81,2.75,0.04,40380,8.06,7.69,0.34,429040,0.55,0.32,0.18,30336,
beasties30,0.93,0.86,0.04,97928,1.63,1.60,0.02,33584,12.13,11.55,0.53,708680,0.46,0.28,0.16,29772,
jxml2sql04,0.82,0.76,0.04,79596,,,,,24.02,23.09,0.83,866624,,,,,
jxml2sql07,0.82,0.76,0.04,79468,,,,,27.80,26.77,0.95,891744,,,,,
jxml2sql09,0.84,0.78,0.05,83736,,,,,27.33,26.28,0.97,884692,,,,,
jxml2sql14,0.56,0.51,0.04,64500,67.47,67.17,0.12,111504,6.35,6.05,0.25,293816,11.90,9.86,2.00,139940,
jxml2sql15,0.84,0.77,0.04,81832,,,,,26.44,25.46,0.90,886140,,,,,
jxml2sql16,0.86,0.79,0.05,84564,,,,,27.86,26.77,0.96,892068,,,,,
jxml2sql18,0.86,0.81,0.03,84696,,,,,29.26,28.21,0.97,881772,,,,,
jxml2sql19,0.84,0.78,0.03,81348,,,,,26.76,25.77,0.91,857020,,,,,
jxml2sql20,0.86,0.80,0.04,82612,,,,,28.72,27.70,0.93,887520,,,,,
jxml2sql21,0.86,0.80,0.04,84400,,,,,26.82,25.77,0.97,895732,,,,,
jxml2sql22,0.63,0.57,0.04,66876,,,,,7.57,7.23,0.31,379928,,,,,
jxml2sql23,0.80,0.74,0.04,80232,,,,,27.37,26.42,0.87,859408,,,,,
jxml2sql24,0.83,0.77,0.04,85000,,,,,28.26,27.34,0.84,769236,,,,,
jxml2sql25,0.78,0.72,0.04,79884,,,,,26.08,25.11,0.90,880684,,,,,
jxml2sql26,0.88,0.83,0.04,85452,,,,,29.05,27.97,0.99,844228,,,,,
jxml2sql27,0.84,0.79,0.04,85024,,,,,29.28,28.25,0.94,909088,,,,,
jxml2sql28,0.85,0.80,0.04,85864,,,,,28.54,27.46,0.99,884336,,,,,
jxml2sql29,0.88,0.83,0.04,87052,,,,,30.12,29.07,0.91,787600,,,,,
jxml2sql30,0.80,0.74,0.04,79948,,,,,27.68,26.70,0.89,899444,,,,,
jxml2sql31,0.85,0.78,0.04,83824,,,,,26.94,25.93,0.93,908924,,,,,
jxml2sql32,0.82,0.77,0.03,80448,,,,,27.61,26.58,0.95,889472,,,,,
jxml2sql33,0.83,0.76,0.05,82208,,,,,27.69,26.72,0.88,883240,,,,,
jxml2sql34,0.83,0.79,0.03,82028,,,,,26.55,25.59,0.85,834036,,,,,
mathQuizGame01,0.80,0.75,0.04,72752,,,,,21.22,20.42,0.73,739240,1.93,1.37,0.54,32196,
mathQuizGame02,0.56,0.52,0.03,64072,,,,,,,,,0.48,0.33,0.12,28864,
mathQuizGame03,0.50,0.46,0.03,63948,37.72,37.31,0.09,87784,5.20,5.03,0.13,273552,0.12,0.07,0.03,27800,
mathQuizGame04,0.52,0.47,0.04,64300,42.37,41.20,0.12,95616,,,,,0.27,0.17,0.06,28432,
mathQuizGame09,0.47,0.43,0.03,62224,36.88,36.68,0.11,105808,5.27,5.10,0.13,272928,0.14,0.08,0.03,27872,
mathQuizGame10,0.53,0.48,0.03,64584,24.06,23.82,0.09,88296,11.43,11.13,0.25,714448,0.26,0.18,0.07,28548,
mathQuizGame12,0.67,0.61,0.04,67232,27.67,27.32,0.07,70248,13.50,13.19,0.26,716068,1.02,0.70,0.29,30176,
mathQuizGame13,0.55,0.50,0.03,64496,59.97,59.63,0.09,86048,,,,,0.68,0.47,0.18,29420,
mathQuizGame14,0.67,0.61,0.04,67540,29.63,29.46,0.07,72308,13.43,13.10,0.28,719320,1.04,0.72,0.30,30192,
mathQuizGame15,0.54,0.50,0.03,64360,46.76,46.53,0.11,86064,,,,,0.68,0.51,0.15,29420,
mathQuizGame16,0.66,0.60,0.03,67256,24.89,24.68,0.06,68844,13.27,12.93,0.28,721524,0.94,0.68,0.25,30132,
mathQuizGame17,0.56,0.52,0.03,62532,59.16,58.76,0.10,86008,,,,,0.62,0.44,0.18,29216,
mathQuizGame19,0.69,0.65,0.03,67652,55.62,55.33,0.13,117184,13.43,13.09,0.28,721672,1.11,0.78,0.31,30344,
mathQuizGame20,0.62,0.58,0.03,64832,87.81,86.81,0.16,129856,26.44,26.05,0.30,747752,1.00,0.72,0.24,30144,
mathQuizGame21,0.70,0.66,0.04,67388,49.77,49.52,0.11,111984,13.37,13.05,0.26,721472,1.04,0.75,0.26,30312,
mathQuizGame22,0.61,0.55,0.04,64556,92.64,92.25,0.14,133140,,,,,0.63,0.46,0.16,29332,
mathQuizGame23,0.70,0.64,0.04,67876,75.36,74.94,0.14,127408,13.49,13.12,0.30,718696,1.13,0.79,0.33,30452,
mathQuizGame24,0.57,0.52,0.04,62128,82.51,82.17,0.13,129252,,,,,0.66,0.45,0.20,29336,
mathQuizGame26,0.71,0.66,0.04,67388,32.43,32.25,0.09,91196,13.15,12.81,0.28,716096,1.13,0.77,0.35,30324,
mathQuizGame27,0.61,0.57,0.03,64828,80.66,80.29,0.12,113108,30.11,29.67,0.35,821368,1.03,0.73,0.30,30144,
mathQuizGame28,0.71,0.65,0.04,67268,39.52,39.30,0.10,93212,13.29,13.00,0.24,719436,1.35,0.83,0.31,30340,
mathQuizGame29,0.61,0.55,0.03,65400,63.81,63.40,0.12,102560,,,,,0.55,0.38,0.13,29280,
