,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0249,,,,,,,,,12.49,12.19,0.26,722344,0.09,0.06,0.01,31324,
benchmark_0450,28.07,27.65,0.26,827940,,,,,12.22,11.91,0.25,706524,0.09,0.06,0.02,31380,
benchmark_0040,61.33,60.58,0.40,1319304,,,,,12.56,12.13,0.28,724184,0.09,0.06,0.01,31396,
benchmark_0203,24.83,24.37,0.25,730376,,,,,12.24,11.71,0.25,720364,0.09,0.06,0.01,31388,
benchmark_0363,28.59,28.15,0.25,892484,,,,,11.91,11.53,0.33,711600,0.09,0.06,0.01,31376,
benchmark_0101,52.54,51.95,0.33,1180296,,,,,12.54,12.15,0.26,726596,0.09,0.05,0.02,31412,
benchmark_0422,27.29,26.85,0.26,811792,,,,,7.60,7.33,0.23,681696,0.08,0.05,0.01,31348,
benchmark_0299,29.54,29.03,0.28,889712,,,,,12.28,11.77,0.26,715496,0.08,0.05,0.01,31352,
benchmark_0044,114.75,113.80,0.49,1746672,,,,,12.55,12.21,0.25,708412,0.09,0.05,0.02,31308,
benchmark_0482,114.60,113.71,0.45,1707156,,,,,11.96,11.64,0.24,717116,0.09,0.05,0.02,31304,
benchmark_0306,53.34,52.79,0.33,1122852,,,,,11.79,11.38,0.29,726856,0.13,0.05,0.02,31408,
benchmark_0050,36.04,35.55,0.31,930976,,,,,11.82,11.42,0.26,706392,0.08,0.06,0.01,31396,
benchmark_0091,77.33,76.54,0.40,1452364,,,,,11.89,11.52,0.28,708072,0.10,0.05,0.02,31272,
benchmark_0257,29.66,29.24,0.24,923252,,,,,12.24,11.77,0.25,716532,0.11,0.05,0.02,31368,
benchmark_0042,28.71,28.27,0.28,894100,,,,,12.24,11.93,0.26,715280,0.11,0.06,0.01,31340,
benchmark_0089,33.49,33.06,0.26,957832,,,,,12.34,11.98,0.31,711712,0.11,0.05,0.02,31360,
benchmark_0066,89.27,88.53,0.41,1449060,,,,,11.73,11.45,0.23,715568,0.10,0.05,0.02,31316,
benchmark_0230,27.63,27.13,0.26,885392,,,,,11.95,11.67,0.24,706680,0.10,0.06,0.02,31380,
benchmark_0103,31.94,31.45,0.26,919968,,,,,12.34,11.85,0.31,717992,0.10,0.05,0.02,31392,
benchmark_0176,54.69,54.17,0.29,1144264,,,,,12.57,11.89,0.28,704460,0.09,0.05,0.02,31420,
benchmark_0401,28.73,28.23,0.26,878280,,,,,12.39,11.72,0.23,716116,0.08,0.05,0.02,31376,
benchmark_0172,53.73,53.09,0.35,1179756,,,,,12.39,12.07,0.25,721920,0.08,0.05,0.02,31400,
benchmark_0341,87.19,86.06,0.39,1524192,,,,,12.44,12.14,0.23,734576,0.09,0.06,0.02,31280,
benchmark_0392,,,,,,,,,17.75,17.36,0.28,717724,0.10,0.06,0.01,31304,
benchmark_0030,37.49,36.05,0.98,962136,,,,,8.79,8.48,0.22,680204,0.09,0.05,0.02,31356,
benchmark_0359,25.87,25.02,0.61,709720,,,,,11.90,11.57,0.24,711200,0.10,0.06,0.01,31352,
benchmark_0175,83.19,80.92,1.48,1396168,,,,,17.02,16.66,0.26,705352,0.10,0.06,0.01,31472,
benchmark_0415,70.53,68.81,1.24,1298312,,,,,12.47,12.14,0.26,722992,0.10,0.06,0.01,31428,
benchmark_0491,,,,,,,,,12.51,12.16,0.25,706572,0.09,0.05,0.02,31480,
benchmark_0227,59.95,58.33,1.10,1176408,,,,,12.46,12.12,0.24,705900,0.10,0.06,0.02,31408,
benchmark_0282,84.86,83.10,1.32,1395628,,,,,12.33,11.99,0.25,709256,0.11,0.06,0.02,31428,
benchmark_0319,55.72,54.22,1.07,1102824,,,,,12.25,11.88,0.28,717280,0.13,0.06,0.02,31412,
benchmark_0164,32.47,31.40,0.74,930380,,,,,20.79,20.42,0.30,724800,0.09,0.06,0.01,31356,
benchmark_0445,91.52,89.78,1.23,1365508,,,,,12.54,12.15,0.29,708184,0.08,0.06,0.02,31272,
benchmark_0167,41.87,40.62,0.90,1007448,,,,,12.32,12.01,0.27,715100,0.08,0.05,0.02,31368,
benchmark_0343,42.34,41.17,0.82,1011964,,,,,12.52,12.24,0.24,711480,0.07,0.05,0.01,31400,
benchmark_0457,83.03,80.94,1.60,1259516,,,,,12.10,11.73,0.27,726576,0.08,0.06,0.02,31432,
benchmark_0179,28.92,27.98,0.64,810460,,,,,8.54,8.18,0.21,681108,0.08,0.06,0.01,31352,
benchmark_0467,27.90,26.75,0.77,829152,,,,,12.33,12.01,0.26,714548,0.08,0.06,0.02,31356,
benchmark_0454,71.17,69.66,1.16,1300700,,,,,12.27,11.94,0.28,717404,0.08,0.05,0.02,31448,
benchmark_0161,33.23,32.05,0.85,884180,,,,,17.34,17.01,0.27,719544,0.08,0.06,0.01,31344,
benchmark_0106,38.73,37.29,1.04,959180,,,,,17.83,17.49,0.26,714148,0.08,0.06,0.01,31360,
benchmark_0021,30.14,29.28,0.60,829832,,,,,12.48,12.18,0.25,734164,0.08,0.05,0.02,31380,
benchmark_0156,25.08,23.98,0.62,723456,,,,,12.56,12.27,0.24,714848,0.08,0.05,0.02,31360,
benchmark_0399,31.73,30.80,0.66,837864,,,,,12.29,11.97,0.28,701772,0.08,0.05,0.02,31360,
benchmark_0307,48.88,47.24,1.12,1069424,,,,,12.40,12.08,0.28,723888,0.08,0.05,0.02,31420,
benchmark_0317,34.35,33.13,0.84,910544,,,,,12.26,11.98,0.23,720200,0.08,0.05,0.02,31360,
benchmark_0155,84.73,83.17,0.90,1302796,,,,,12.29,11.99,0.25,707260,0.07,0.04,0.02,31252,
benchmark_0423,72.60,71.19,0.86,1255020,,,,,12.07,11.81,0.22,707256,0.08,0.06,0.01,31428,
benchmark_0364,81.12,79.70,0.85,1393220,,,,,12.07,11.76,0.27,721196,0.09,0.05,0.02,31404,
benchmark_0334,90.20,88.80,0.94,1327280,,,,,20.52,20.14,0.32,721540,0.10,0.05,0.01,31268,
benchmark_0497,51.25,50.04,0.74,1074368,,,,,11.88,11.57,0.25,716808,0.09,0.06,0.02,31396,
benchmark_0192,67.45,66.17,0.76,1306948,,,,,12.36,12.00,0.26,718284,0.10,0.05,0.02,31388,
benchmark_0417,58.41,57.14,0.75,1213376,,,,,11.98,11.60,0.26,715588,0.10,0.06,0.02,31440,
benchmark_0391,50.91,49.77,0.68,1057932,,,,,11.68,11.29,0.27,728672,0.10,0.05,0.02,31392,
benchmark_0006,44.48,43.56,0.71,1051620,,,,,11.98,11.66,0.28,710560,0.09,0.05,0.02,31380,
benchmark_0406,29.25,28.44,0.42,878740,,,,,11.94,11.65,0.24,714960,0.09,0.06,0.01,31364,
benchmark_0349,25.35,24.58,0.37,726952,,,,,11.83,11.54,0.24,704944,0.09,0.05,0.02,31360,
benchmark_0486,89.18,87.59,0.97,1492540,,,,,12.15,11.88,0.23,708748,0.10,0.06,0.01,31256,
benchmark_0123,28.28,27.49,0.43,876752,,,,,20.56,20.19,0.30,724616,0.09,0.06,0.01,31364,
benchmark_0431,35.17,34.25,0.52,964816,,,,,12.33,11.98,0.28,721280,0.08,0.05,0.01,31356,
benchmark_0024,22.67,22.07,0.43,718488,,,,,8.04,7.77,0.23,680924,0.08,0.05,0.01,31340,
benchmark_0138,24.66,23.90,0.38,723684,,,,,8.71,8.44,0.22,674660,0.09,0.05,0.02,31336,
benchmark_0027,38.53,37.78,0.55,960068,,,,,11.97,11.69,0.24,713920,0.09,0.06,0.01,31368,
benchmark_0247,41.00,40.16,0.63,960232,,,,,12.29,11.87,0.25,724588,0.10,0.05,0.02,31372,
benchmark_0046,60.25,59.13,0.84,1152060,,,,,12.02,11.71,0.23,711276,0.09,0.06,0.02,31396,
benchmark_0120,21.50,20.70,0.39,719964,,,,,7.45,7.16,0.21,677572,0.10,0.06,0.01,31344,
benchmark_0193,45.85,44.93,0.66,1063372,,,,,12.24,11.96,0.23,718532,0.09,0.06,0.01,31400,
benchmark_0174,26.20,25.51,0.49,805968,,,,,7.71,7.41,0.22,686796,0.09,0.06,0.01,31348,
benchmark_0198,116.96,115.43,1.10,1422620,,,,,12.21,11.86,0.26,725340,0.10,0.06,0.02,31472,
benchmark_0036,34.26,33.32,0.48,936844,,,,,11.50,11.17,0.24,724360,0.10,0.05,0.02,31368,
benchmark_0153,45.46,44.83,0.32,1075916,,,,,7.28,7.01,0.19,684768,0.09,0.06,0.02,31400,
benchmark_0274,81.44,80.49,0.44,1484828,,,,,11.71,11.41,0.22,709644,0.10,0.06,0.02,31268,
benchmark_0093,35.29,34.75,0.27,885112,,,,,11.93,11.57,0.26,713936,0.10,0.05,0.01,31368,
benchmark_0189,118.29,117.03,0.44,1725344,,,,,12.46,12.13,0.24,721184,0.09,0.07,0.01,31308,
benchmark_0068,21.22,20.82,0.21,717380,,,,,12.43,12.10,0.26,715460,0.09,0.05,0.02,31336,
