,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0249,1.10,1.03,0.06,143760,,,,,12.49,12.19,0.26,722344,0.09,0.06,0.01,31324,
benchmark_0450,1.15,1.06,0.05,139796,,,,,12.22,11.91,0.25,706524,0.09,0.06,0.02,31380,
benchmark_0040,1.11,1.04,0.05,140700,,,,,12.56,12.13,0.28,724184,0.09,0.06,0.01,31396,
benchmark_0203,1.14,1.07,0.06,142440,,,,,12.24,11.71,0.25,720364,0.09,0.06,0.01,31388,
benchmark_0363,1.20,1.12,0.05,153428,,,,,11.91,11.53,0.33,711600,0.09,0.06,0.01,31376,
benchmark_0101,1.15,1.06,0.06,144444,,,,,12.54,12.15,0.26,726596,0.09,0.05,0.02,31412,
benchmark_0422,1.15,1.07,0.06,151476,,,,,7.60,7.33,0.23,681696,0.08,0.05,0.01,31348,
benchmark_0299,1.17,1.09,0.05,140092,,,,,12.28,11.77,0.26,715496,0.08,0.05,0.01,31352,
benchmark_0044,1.26,1.17,0.05,152944,,,,,12.55,12.21,0.25,708412,0.09,0.05,0.02,31308,
benchmark_0482,1.15,1.06,0.05,142884,,,,,11.96,11.64,0.24,717116,0.09,0.05,0.02,31304,
benchmark_0306,1.15,1.08,0.05,147436,,,,,11.79,11.38,0.29,726856,0.13,0.05,0.02,31408,
benchmark_0050,1.14,1.06,0.06,147968,,,,,11.82,11.42,0.26,706392,0.08,0.06,0.01,31396,
benchmark_0091,1.16,1.08,0.05,146056,,,,,11.89,11.52,0.28,708072,0.10,0.05,0.02,31272,
benchmark_0257,1.09,1.02,0.05,148056,,,,,12.24,11.77,0.25,716532,0.11,0.05,0.02,31368,
benchmark_0042,1.12,1.05,0.05,144192,,,,,12.24,11.93,0.26,715280,0.11,0.06,0.01,31340,
benchmark_0089,1.15,1.08,0.04,142532,,,,,12.34,11.98,0.31,711712,0.11,0.05,0.02,31360,
benchmark_0066,1.37,1.26,0.09,141420,,,,,11.73,11.45,0.23,715568,0.10,0.05,0.02,31316,
benchmark_0230,1.36,1.24,0.09,137056,,,,,11.95,11.67,0.24,706680,0.10,0.06,0.02,31380,
benchmark_0103,1.40,1.28,0.10,147028,,,,,12.34,11.85,0.31,717992,0.10,0.05,0.02,31392,
benchmark_0176,1.36,1.24,0.09,136956,,,,,12.57,11.89,0.28,704460,0.09,0.05,0.02,31420,
benchmark_0401,1.32,1.20,0.09,133864,,,,,12.39,11.72,0.23,716116,0.08,0.05,0.02,31376,
benchmark_0172,1.35,1.23,0.08,134980,,,,,12.39,12.07,0.25,721920,0.08,0.05,0.02,31400,
benchmark_0341,1.42,1.24,0.10,146580,,,,,12.44,12.14,0.23,734576,0.09,0.06,0.02,31280,
benchmark_0392,1.40,1.27,0.10,144132,,,,,17.75,17.36,0.28,717724,0.10,0.06,0.01,31304,
benchmark_0030,1.33,1.21,0.09,136444,,,,,8.79,8.48,0.22,680204,0.09,0.05,0.02,31356,
benchmark_0359,1.48,1.32,0.10,144632,,,,,11.90,11.57,0.24,711200,0.10,0.06,0.01,31352,
benchmark_0175,1.41,1.29,0.10,147216,,,,,17.02,16.66,0.26,705352,0.10,0.06,0.01,31472,
benchmark_0415,1.33,1.21,0.09,138148,,,,,12.47,12.14,0.26,722992,0.10,0.06,0.01,31428,
benchmark_0491,1.46,1.32,0.10,148976,,,,,12.51,12.16,0.25,706572,0.09,0.05,0.02,31480,
benchmark_0227,1.37,1.25,0.08,133796,,,,,12.46,12.12,0.24,705900,0.10,0.06,0.02,31408,
benchmark_0282,1.39,1.26,0.10,145200,,,,,12.33,11.99,0.25,709256,0.11,0.06,0.02,31428,
benchmark_0319,1.29,1.17,0.09,134744,,,,,12.25,11.88,0.28,717280,0.13,0.06,0.02,31412,
benchmark_0164,1.34,1.23,0.08,134748,,,,,20.79,20.42,0.30,724800,0.09,0.06,0.01,31356,
benchmark_0445,1.28,1.16,0.10,133820,,,,,12.54,12.15,0.29,708184,0.08,0.06,0.02,31272,
