,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0249,61.88,61.20,0.35,1316068,,,,,4.70,3.52,0.16,404656,0.06,0.04,0.01,31456,
benchmark_0450,60.08,59.43,0.34,1297492,,,,,4.79,3.56,0.19,420732,0.07,0.04,0.02,31392,
benchmark_0040,65.05,64.39,0.35,1259416,,,,,4.62,3.42,0.16,385244,0.06,0.04,0.01,31424,
benchmark_0203,57.26,56.06,1.06,1290888,,,,,4.88,3.95,0.15,426080,0.06,0.04,0.02,31424,
benchmark_0363,70.07,69.45,0.41,1294048,,,,,4.16,3.42,0.12,399092,0.07,0.05,0.01,31432,
benchmark_0101,75.19,73.70,1.27,1295092,,,,,4.25,3.53,0.13,410228,0.06,0.03,0.02,31404,
benchmark_0422,63.91,62.80,0.81,1294204,,,,,4.50,3.70,0.17,396264,0.06,0.04,0.02,31404,
benchmark_0299,71.50,69.60,1.66,1258812,,,,,4.76,3.95,0.17,407424,0.06,0.04,0.01,31428,
benchmark_0044,68.02,66.74,0.84,1288272,,,,,3.81,3.65,0.13,411712,0.07,0.04,0.02,31440,
benchmark_0482,69.74,68.92,0.55,1247748,,,,,3.90,3.75,0.12,416080,0.06,0.04,0.01,31420,
benchmark_0306,72.57,71.49,0.88,1319488,,,,,3.92,3.74,0.15,420292,0.06,0.04,0.01,31400,
benchmark_0050,63.02,62.38,0.36,1296556,,,,,3.75,3.56,0.15,395184,0.07,0.05,0.01,31444,
benchmark_0091,74.92,73.45,1.21,1288820,,,,,3.69,3.51,0.15,394436,0.07,0.04,0.02,31444,
benchmark_0257,66.26,65.07,0.71,1303212,,,,,3.79,3.61,0.15,410756,0.06,0.04,0.01,31452,
benchmark_0042,63.12,62.04,0.91,1290312,,,,,3.89,3.73,0.12,399532,0.07,0.05,0.01,31432,
benchmark_0089,65.25,64.10,0.97,1247276,,,,,3.64,3.45,0.16,401208,0.07,0.04,0.01,31400,
benchmark_0066,67.28,66.69,0.38,1286384,,,,,3.78,3.58,0.16,407036,0.07,0.05,0.01,31424,
benchmark_0230,61.74,60.97,0.42,1293744,,,,,3.76,3.56,0.16,408028,0.07,0.05,0.01,31424,
benchmark_0103,63.15,62.54,0.35,1209392,,,,,3.77,3.59,0.15,413220,0.07,0.04,0.02,31444,
benchmark_0176,65.55,64.37,0.79,1284992,,,,,3.72,3.53,0.15,401588,0.07,0.05,0.02,31420,
benchmark_0401,66.51,65.75,0.36,1291068,,,,,3.83,3.66,0.14,406744,0.07,0.05,0.02,31476,
benchmark_0172,56.71,55.58,0.99,1260868,,,,,3.73,3.53,0.17,426976,0.06,0.04,0.01,31420,
benchmark_0341,65.61,65.07,0.36,1263404,,,,,3.89,3.68,0.17,402600,0.07,0.05,0.01,31452,
benchmark_0392,61.82,61.27,0.38,1296600,,,,,3.76,3.61,0.13,403680,0.06,0.04,0.01,31424,
benchmark_0030,65.01,64.33,0.40,1324720,,,,,3.69,3.49,0.18,411460,0.07,0.05,0.02,31424,
benchmark_0359,60.21,59.65,0.38,1314860,,,,,3.78,3.58,0.17,400200,0.07,0.05,0.01,31452,
benchmark_0175,70.88,68.66,1.76,1302436,,,,,3.81,3.65,0.13,400388,0.07,0.05,0.01,31424,
benchmark_0415,63.60,62.98,0.36,1305748,,,,,3.63,3.43,0.13,400140,0.07,0.05,0.02,31420,
benchmark_0491,61.60,61.08,0.37,1268328,,,,,3.73,3.51,0.17,401880,0.06,0.04,0.02,31428,
benchmark_0227,58.38,57.84,0.39,1289992,,,,,3.66,3.49,0.13,387684,0.07,0.05,0.01,31424,
benchmark_0282,65.41,64.82,0.39,1295740,,,,,3.86,3.70,0.13,398820,0.07,0.04,0.02,31448,
benchmark_0319,66.55,65.89,0.42,1326120,,,,,3.66,3.51,0.13,426480,0.07,0.04,0.02,31396,
benchmark_0164,62.98,62.42,0.36,1302384,,,,,3.79,3.56,0.17,387372,0.07,0.05,0.01,31448,
benchmark_0445,69.65,69.08,0.36,1252692,,,,,3.99,3.79,0.16,409548,0.06,0.04,0.02,31444,
benchmark_0167,68.05,66.97,0.79,1299964,,,,,3.66,3.48,0.14,405452,0.07,0.04,0.02,31420,
benchmark_0343,66.34,65.77,0.37,1202900,,,,,3.59,3.40,0.15,408708,0.07,0.05,0.01,31400,
benchmark_0457,71.31,69.59,1.40,1246740,,,,,3.72,3.56,0.13,396976,0.07,0.05,0.01,31468,
benchmark_0179,69.10,67.97,0.92,1261156,,,,,3.80,3.60,0.16,407108,0.06,0.04,0.01,31424,
benchmark_0467,74.65,73.57,0.68,1281244,,,,,3.74,3.54,0.14,402660,0.07,0.04,0.02,31420,
benchmark_0454,72.68,71.17,1.26,1291356,,,,,3.76,3.56,0.15,399804,0.06,0.04,0.01,31428,
benchmark_0161,59.21,58.64,0.34,1203064,,,,,3.66,3.47,0.16,397312,0.06,0.04,0.01,31392,
benchmark_0106,78.70,76.88,1.61,1261512,,,,,3.70,3.53,0.14,409260,0.06,0.04,0.01,31448,
benchmark_0021,69.23,67.44,1.57,1248768,,,,,3.77,3.62,0.12,403772,0.06,0.04,0.01,31424,
benchmark_0156,62.18,61.62,0.38,1296544,,,,,3.85,3.66,0.13,398184,0.07,0.05,0.01,31424,
