,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0249g,0.20,0.08,0.02,37300,0.02,0.01,0.00,4476,0.73,0.67,0.05,93292,0.02,0.01,0.00,4468,
benchmark_0450g,0.18,0.08,0.02,36808,0.02,0.01,0.00,4476,0.75,0.69,0.05,93356,0.02,0.01,0.00,4468,
benchmark_0040g,0.11,0.09,0.02,34032,0.02,0.01,0.00,4476,0.73,0.68,0.05,93396,0.02,0.01,0.00,4468,
benchmark_0203g,0.17,0.08,0.02,33856,0.02,0.01,0.00,4476,0.76,0.72,0.04,93584,0.02,0.01,0.00,4468,
benchmark_0363g,0.11,0.09,0.01,34024,0.02,0.01,0.00,4476,0.73,0.69,0.04,93256,0.02,0.01,0.00,4468,
benchmark_0101g,0.13,0.08,0.01,33984,0.02,0.01,0.00,4476,0.77,0.71,0.05,93240,0.01,0.01,0.00,4468,
benchmark_0422g,0.24,0.08,0.02,33984,0.02,0.01,0.00,4476,0.74,0.69,0.04,93340,0.02,0.01,0.00,4468,
benchmark_0299g,0.11,0.09,0.01,33992,0.02,0.01,0.00,4476,0.76,0.70,0.04,93276,0.02,0.01,0.01,4468,
benchmark_0044g,0.12,0.09,0.02,33984,0.02,0.01,0.00,4476,0.76,0.70,0.05,93364,0.02,0.01,0.00,4468,
benchmark_0482g,0.19,0.08,0.01,33980,0.02,0.01,0.00,4476,0.76,0.70,0.05,93272,0.02,0.01,0.00,4468,
benchmark_0306g,0.18,0.08,0.02,36816,0.02,0.01,0.00,4476,0.77,0.71,0.05,93180,0.02,0.01,0.00,4468,
benchmark_0050g,0.14,0.08,0.03,37296,0.02,0.01,0.00,4476,0.74,0.69,0.04,93216,0.02,0.01,0.00,4468,
benchmark_0091g,0.11,0.09,0.01,33916,0.02,0.01,0.00,4476,0.80,0.74,0.05,93152,0.02,0.01,0.00,4468,
benchmark_0257g,0.11,0.09,0.01,33980,0.02,0.01,0.00,4476,0.74,0.68,0.05,95024,0.02,0.01,0.00,4468,
benchmark_0042g,0.11,0.10,0.01,34516,0.02,0.01,0.00,4476,0.75,0.70,0.05,95100,0.02,0.01,0.00,4468,
benchmark_0089g,0.11,0.09,0.01,34028,0.02,0.01,0.01,4476,0.75,0.69,0.05,93144,0.02,0.01,0.00,4468,
benchmark_0066g,0.11,0.09,0.01,33984,0.02,0.01,0.00,4476,0.76,0.69,0.05,93364,0.02,0.01,0.00,4468,
benchmark_0230g,0.11,0.09,0.02,34032,0.02,0.01,0.00,4476,0.79,0.73,0.05,94480,0.02,0.01,0.00,4468,
benchmark_0103g,0.26,0.09,0.02,34528,0.01,0.01,0.00,4476,0.75,0.69,0.05,95372,0.02,0.01,0.00,4468,
benchmark_0176g,0.17,0.09,0.02,34024,0.02,0.01,0.00,4476,0.76,0.70,0.04,93368,0.02,0.01,0.00,4468,
benchmark_0401g,0.19,0.09,0.02,37312,0.01,0.01,0.00,4476,0.75,0.68,0.06,93360,0.02,0.01,0.00,4468,
benchmark_0172g,0.28,0.08,0.02,34036,0.02,0.01,0.00,4476,0.77,0.70,0.05,93892,0.02,0.01,0.00,4468,
benchmark_0341g,0.17,0.08,0.02,34000,0.02,0.01,0.00,4476,0.74,0.69,0.04,93008,0.02,0.01,0.00,4468,
benchmark_0392g,0.28,0.08,0.03,34520,0.02,0.01,0.00,4476,0.74,0.68,0.05,93072,0.02,0.01,0.00,4468,
benchmark_0030g,0.17,0.09,0.01,34016,0.01,0.01,0.00,4476,0.77,0.72,0.05,93272,0.02,0.01,0.00,4468,
benchmark_0359g,0.26,0.09,0.02,31904,0.02,0.01,0.00,4476,0.76,0.72,0.03,93432,0.02,0.01,0.00,4468,
benchmark_0175g,0.24,0.09,0.02,34024,0.02,0.01,0.00,4476,0.77,0.72,0.04,93360,0.02,0.01,0.00,4468,
benchmark_0415g,0.17,0.08,0.02,34024,0.02,0.01,0.00,4476,0.78,0.72,0.05,93272,0.02,0.01,0.00,4468,
benchmark_0491g,0.16,0.09,0.01,34000,0.02,0.01,0.00,4476,0.74,0.68,0.04,93492,0.02,0.01,0.00,4468,
benchmark_0227g,0.28,0.09,0.02,34508,0.02,0.01,0.00,4476,0.76,0.71,0.04,93248,0.02,0.01,0.00,4468,
benchmark_0282g,0.27,0.09,0.02,34520,0.02,0.01,0.00,4476,0.76,0.70,0.05,93468,0.02,0.01,0.00,4468,
benchmark_0319g,0.27,0.09,0.02,34036,0.02,0.01,0.00,4476,0.72,0.67,0.04,95380,0.02,0.01,0.00,4468,
benchmark_0164g,0.29,0.09,0.02,34036,0.02,0.01,0.00,4476,0.75,0.68,0.06,93356,0.02,0.01,0.00,4468,
benchmark_0445g,0.19,0.08,0.02,36792,0.02,0.01,0.00,4476,0.75,0.70,0.04,93496,0.02,0.01,0.00,4468,
benchmark_0167g,0.19,0.08,0.02,34528,0.02,0.01,0.00,4476,0.73,0.68,0.05,93352,0.02,0.01,0.00,4468,
benchmark_0343g,0.27,0.09,0.02,37232,0.01,0.01,0.00,4476,0.75,0.70,0.04,93368,0.01,0.01,0.00,4468,
benchmark_0457g,0.29,0.09,0.01,34032,0.02,0.01,0.00,4476,0.75,0.69,0.05,93560,0.01,0.01,0.00,4468,
