,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
slog_stranger_1001_sink,0.855,0.957,0.508,0.374,0.061,0.221,1.119,1.122,0.520,0.320,0.075,0.186,
slog_stranger_1002_sink,0.829,0.904,0.513,0.354,0.076,0.209,1.180,1.169,0.544,0.296,0.068,0.183,
slog_stranger_1003_sink,0.872,0.991,0.520,0.305,0.055,0.214,1.862,3.760,0.806,0.339,0.076,0.181,
slog_stranger_1006_sink,0.865,0.958,0.502,0.388,0.072,0.215,1.173,1.148,0.585,0.337,0.080,0.179,
slog_stranger_1007_sink,0.857,0.934,0.552,0.398,0.069,0.212,1.130,1.142,0.532,0.294,0.079,0.171,
slog_stranger_1008_sink,0.863,0.965,0.507,0.345,0.072,0.204,1.229,1.181,0.544,0.334,0.077,0.176,
slog_stranger_1009_sink,0.856,0.978,0.497,0.341,0.066,0.222,1.176,1.153,0.553,0.294,0.070,0.183,
slog_stranger_1010_sink,0.828,0.939,0.487,0.329,0.073,0.201,1.167,1.131,0.538,0.327,0.078,0.171,
slog_stranger_1011_sink,0.821,0.947,0.489,0.347,0.073,0.208,1.132,1.143,0.538,0.287,0.069,0.187,
slog_stranger_1012_sink,0.831,0.916,0.503,0.380,0.083,0.200,1.182,1.121,0.583,0.326,0.081,0.172,
slog_stranger_1013_sink,0.825,1.000,0.449,0.336,0.057,0.214,1.712,2.925,0.712,0.297,0.064,0.187,
slog_stranger_1016_sink,0.861,0.987,0.514,0.338,0.081,0.202,1.320,1.115,0.542,0.296,0.082,0.168,
slog_stranger_1019_sink,0.849,0.948,0.509,0.403,0.072,0.217,1.176,1.166,0.505,0.310,0.080,0.175,
slog_stranger_1020_sink,0.821,0.945,0.471,0.333,0.076,0.207,1.185,1.144,0.581,0.369,0.078,0.177,
slog_stranger_1021_sink,0.854,0.970,0.490,0.432,0.065,0.219,1.159,1.131,0.548,0.294,0.069,0.188,
slog_stranger_1022_sink,0.850,0.950,0.511,0.327,0.072,0.201,1.170,1.122,0.570,0.496,0.083,0.187,
slog_stranger_1024_sink,0.856,0.942,0.525,0.358,0.068,0.213,1.216,1.119,0.513,0.474,0.086,0.174,
slog_stranger_1025_sink,0.823,0.940,0.469,0.321,0.068,0.212,1.185,1.148,0.555,0.305,0.077,0.175,
slog_stranger_1026_sink,0.851,0.949,0.521,0.330,0.072,0.219,1.151,1.130,0.544,0.336,0.081,0.177,
slog_stranger_1029_sink,0.847,0.963,0.504,0.334,0.070,0.210,1.302,1.116,0.550,0.328,0.080,0.171,
slog_stranger_1032_sink,0.834,0.936,0.483,0.330,0.076,0.211,1.134,1.103,0.550,0.316,0.081,0.175,
slog_stranger_1035_sink,0.828,0.963,0.463,0.370,0.076,0.213,1.162,1.167,0.535,0.314,0.082,0.177,
slog_stranger_1036_sink,0.852,0.967,0.515,0.387,0.070,0.215,1.136,1.102,0.562,0.285,0.079,0.172,
slog_stranger_1037_sink,0.860,0.955,0.514,0.389,0.064,0.220,1.178,1.161,0.551,0.343,0.069,0.189,
slog_stranger_1038_sink,0.854,0.938,0.512,0.467,0.075,0.213,1.124,1.103,0.553,0.392,0.083,0.173,
slog_stranger_1041_sink,0.858,0.978,0.492,0.321,0.079,0.197,1.164,1.150,0.557,0.300,0.084,0.167,
slog_stranger_1042_sink,0.819,0.938,0.481,0.330,0.072,0.218,1.131,1.135,0.545,0.294,0.091,0.169,
slog_stranger_1045_sink,0.850,0.948,0.514,0.335,0.074,0.210,1.169,1.135,0.570,0.361,0.085,0.172,
slog_stranger_1049_sink,0.816,0.959,0.463,0.347,0.070,0.219,2.409,1.122,0.527,0.299,0.071,0.179,
