,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
01_track_1,0.775,0.603,0.468,,,,,,,,,,
01_track_10,35.206,332.957,81.295,,,,,,,,,,
01_track_100,28.115,61.022,96.025,,,,,,,,,,
01_track_101,0.949,1.472,0.550,,,,,,,,,,
01_track_102,0.809,0.813,0.491,,,,,,,,,,
01_track_103,37.362,294.926,138.392,,,,,,,,,,
01_track_104,0.821,0.917,0.461,,,,,,,,,,
01_track_105,,,,,,,,,,,,,
01_track_106,15.311,26.806,6.151,,,,,,,,,,
01_track_107,1.023,1.553,0.567,,,,,,,,,,
01_track_108,0.849,0.770,0.462,,,,,,,,,,
01_track_109,31.916,394.918,50.553,,,,,,,,,,
01_track_11,0.770,0.711,0.473,,,,,,,,,,
01_track_110,58.157,220.459,10.139,,,,,,,,,,
01_track_111,28.646,322.949,42.468,,,,,,,,,,
01_track_112,0.779,0.622,0.439,,,,,,,,,,
01_track_113,134.335,869.185,835.812,,,,,,,,,,
01_track_114,435.386,2757.354,3615.651,,,,,,,,,,
01_track_115,0.819,0.823,0.459,,,,,,,,,,
01_track_116,0.815,0.863,0.479,,,,,,,,,,
01_track_117,1.939,4.462,1.044,,,,,,,,,,
01_track_118,4.294,10.259,1.735,,,,,,,,,,
01_track_119,0.787,0.717,0.464,,,,,,,,,,
01_track_12,2.043,4.873,1.120,,,,,,,,,,
01_track_120,0.979,1.219,0.536,,,,,,,,,,
01_track_121,0.835,0.732,0.458,,,,,,,,,,
01_track_122,59.151,475.396,77.216,,,,,,,,,,
01_track_123,40.668,308.796,76.240,,,,,,,,,,
01_track_124,0.819,0.879,0.509,,,,,,,,,,
01_track_125,1.201,1.984,0.709,,,,,,,,,,
01_track_126,0.835,1.063,0.496,,,,,,,,,,
01_track_127,0.953,1.674,0.614,,,,,,,,,,
01_track_128,0.751,0.562,0.458,,,,,,,,,,
01_track_129,0.749,0.576,0.447,,,,,,,,,,
01_track_13,0.808,0.908,0.480,,,,,,,,,,
01_track_130,0.770,0.649,0.428,,,,,,,,,,
01_track_131,0.922,1.200,0.530,,,,,,,,,,
01_track_132,0.880,1.145,0.509,,,,,,,,,,
01_track_133,0.991,1.406,0.636,,,,,,,,,,
01_track_134,31.983,393.000,59.352,,,,,,,,,,
01_track_135,534.583,3815.371,4263.550,,,,,,,,,,
01_track_136,0.861,1.095,0.497,,,,,,,,,,
01_track_137,2.223,5.142,1.222,,,,,,,,,,
01_track_138,0.816,0.890,0.472,,,,,,,,,,
01_track_139,0.912,1.208,0.516,,,,,,,,,,
01_track_14,0.773,0.682,0.453,,,,,,,,,,
01_track_140,0.708,0.532,0.416,,,,,,,,,,
01_track_141,0.706,0.496,0.428,,,,,,,,,,
01_track_142,1.045,1.770,0.570,,,,,,,,,,
01_track_143,1.274,2.452,0.887,,,,,,,,,,
01_track_144,2.157,4.671,1.276,,,,,,,,,,
01_track_145,0.720,0.493,0.432,,,,,,,,,,
01_track_146,0.767,0.631,0.419,,,,,,,,,,
01_track_147,0.795,0.833,0.443,,,,,,,,,,
01_track_148,4.580,8.375,3.234,,,,,,,,,,
01_track_149,0.761,0.708,0.449,,,,,,,,,,
01_track_15,0.872,1.152,0.522,,,,,,,,,,
01_track_150,0.835,0.955,0.509,,,,,,,,,,
01_track_151,0.848,0.928,0.485,,,,,,,,,,
01_track_152,0.808,0.765,0.471,,,,,,,,,,
01_track_153,0.825,0.902,0.475,,,,,,,,,,
01_track_154,0.775,0.609,0.459,,,,,,,,,,
01_track_155,8.058,17.799,2.883,,,,,,,,,,
01_track_156,0.863,0.941,0.514,,,,,,,,,,
01_track_157,250.575,2285.943,2271.776,,,,,,,,,,
01_track_158,0.992,1.501,0.582,,,,,,,,,,
01_track_159,514.723,3661.593,4409.567,,,,,,,,,,
01_track_16,160.444,842.479,846.375,,,,,,,,,,
01_track_160,0.827,0.801,0.481,,,,,,,,,,
01_track_161,0.960,1.137,0.562,,,,,,,,,,
