,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
01_track_1,0.59,0.53,0.05,58700,0.03,0.01,0.00,6320,2.56,1.34,0.10,185312,0.59,0.04,0.01,24444,
01_track_10,13.57,13.21,0.30,484876,0.05,0.02,0.01,8108,23.28,21.80,0.34,735544,0.63,0.05,0.02,28548,
01_track_100,,,,,,,,,9.08,7.68,0.27,683060,0.62,0.05,0.02,28088,
01_track_101,,,,,0.05,0.02,0.01,8180,,,,,0.45,0.04,0.03,28160,
01_track_102,,,,,0.04,0.01,0.00,7628,2.64,1.65,0.11,216892,0.44,0.04,0.02,27308,
01_track_103,,,,,0.04,0.01,0.01,7524,22.00,20.76,0.33,743024,0.06,0.04,0.01,24484,
01_track_104,1.20,1.13,0.06,124996,0.04,0.02,0.00,7848,3.74,2.94,0.13,296912,0.06,0.03,0.02,27716,
01_track_105,,,,,0.03,0.01,0.01,7276,30.24,29.18,0.43,749592,0.05,0.03,0.01,24460,
01_track_106,2.81,2.60,0.19,277380,0.04,0.01,0.01,8076,2.88,2.40,0.10,244088,0.07,0.04,0.01,28108,
01_track_107,1.80,1.66,0.11,176660,0.04,0.01,0.00,7492,18.87,18.10,0.33,769236,0.05,0.04,0.00,24480,
01_track_108,2.58,2.42,0.14,190396,0.04,0.01,0.00,7288,1.78,1.68,0.08,212028,0.05,0.03,0.01,24468,
01_track_109,,,,,0.06,0.04,0.00,9200,42.95,42.36,0.47,782424,0.09,0.06,0.02,32196,
01_track_11,0.95,0.87,0.05,80780,0.04,0.01,0.01,7916,3.30,3.18,0.10,238340,0.05,0.03,0.01,27844,
01_track_110,,,,,0.05,0.01,0.01,8064,,,,,0.06,0.04,0.01,28124,
01_track_111,,,,,,,,,56.18,55.55,0.48,819324,0.08,0.05,0.02,29772,
01_track_112,0.64,0.58,0.04,59980,0.04,0.01,0.00,7460,2.04,1.94,0.08,223268,0.08,0.03,0.01,24464,
01_track_113,,,,,0.04,0.02,0.00,8124,4.28,4.10,0.15,319792,0.06,0.05,0.00,28108,
01_track_114,1.69,1.56,0.11,153772,0.03,0.01,0.00,7504,15.93,15.57,0.30,739768,0.05,0.03,0.01,24484,
01_track_115,0.89,0.80,0.07,76768,0.04,0.02,0.00,7720,2.65,2.54,0.10,228084,0.06,0.04,0.01,27708,
01_track_116,1.38,1.27,0.09,117652,0.03,0.02,0.00,7912,3.38,3.25,0.11,272144,0.06,0.04,0.01,27900,
01_track_117,,,,,0.04,0.01,0.01,7948,48.64,47.70,0.81,793184,0.06,0.04,0.01,27912,
01_track_118,,,,,0.04,0.01,0.00,7520,26.69,26.00,0.61,752704,0.05,0.03,0.01,24476,
01_track_119,0.72,0.65,0.06,64160,0.04,0.01,0.00,7244,4.05,3.91,0.12,260000,0.05,0.03,0.01,24448,
01_track_12,,,,,0.04,0.01,0.00,7540,10.96,10.51,0.41,718336,0.05,0.03,0.01,24488,
01_track_120,4.07,3.93,0.11,373516,0.04,0.02,0.00,8072,7.31,6.89,0.40,717656,0.07,0.05,0.01,28176,
01_track_121,0.93,0.86,0.05,93140,0.04,0.01,0.00,7288,1.72,1.59,0.12,206812,0.05,0.03,0.01,24464,
01_track_122,,,,,0.04,0.02,0.00,8112,76.81,76.11,0.49,831876,0.07,0.05,0.02,28512,
01_track_123,,,,,0.04,0.02,0.00,8312,3.91,3.77,0.11,273680,0.07,0.04,0.01,28384,
01_track_124,1.97,1.83,0.12,209228,0.03,0.01,0.01,7504,37.34,36.88,0.36,799928,0.05,0.03,0.01,24480,
01_track_125,,,,,0.03,0.02,0.00,7852,11.69,11.31,0.33,717760,0.06,0.04,0.01,27956,
01_track_126,1.67,1.57,0.07,190020,0.04,0.02,0.00,7984,3.73,3.57,0.13,298520,0.06,0.04,0.01,27936,
01_track_127,,,,,0.04,0.01,0.00,7520,23.86,23.33,0.47,738508,0.05,0.04,0.01,24464,
01_track_128,0.60,0.53,0.04,66540,0.04,0.01,0.00,6316,1.36,1.28,0.07,185388,0.05,0.03,0.01,24444,
01_track_129,0.60,0.54,0.05,58696,0.04,0.01,0.01,6316,1.43,1.35,0.06,186472,0.05,0.03,0.01,24444,
01_track_13,0.89,0.81,0.07,81036,0.04,0.02,0.00,7460,2.84,2.69,0.12,254220,0.05,0.03,0.01,24468,
