,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
01_track_1,0.47,0.42,0.03,63788,0.01,0.01,0.00,4476,2.56,1.34,0.10,185312,0.59,0.04,0.01,24444,
01_track_10,,,,,0.01,0.01,0.00,4476,23.28,21.80,0.34,735544,0.63,0.05,0.02,28548,
01_track_100,,,,,0.01,0.01,0.00,4476,9.08,7.68,0.27,683060,0.62,0.05,0.02,28088,
01_track_101,,,,,0.02,0.01,0.00,4476,,,,,0.45,0.04,0.03,28160,
01_track_102,0.97,0.89,0.05,131248,0.01,0.01,0.00,4476,2.64,1.65,0.11,216892,0.44,0.04,0.02,27308,
01_track_103,,,,,0.01,0.01,0.00,4476,22.00,20.76,0.33,743024,0.06,0.04,0.01,24484,
01_track_104,0.95,0.87,0.05,132308,0.02,0.01,0.00,4476,3.74,2.94,0.13,296912,0.06,0.03,0.02,27716,
01_track_105,,,,,0.01,0.01,0.00,4476,30.24,29.18,0.43,749592,0.05,0.03,0.01,24460,
01_track_106,55.46,53.09,2.23,2921588,0.01,0.01,0.00,4476,2.88,2.40,0.10,244088,0.07,0.04,0.01,28108,
01_track_107,6.51,6.03,0.43,1053792,0.02,0.01,0.00,4476,18.87,18.10,0.33,769236,0.05,0.04,0.00,24480,
01_track_108,,,,,0.01,0.01,0.00,4476,1.78,1.68,0.08,212028,0.05,0.03,0.01,24468,
01_track_109,,,,,0.01,0.00,0.00,4476,42.95,42.36,0.47,782424,0.09,0.06,0.02,32196,
01_track_11,0.96,0.88,0.05,123800,0.02,0.01,0.00,4476,3.30,3.18,0.10,238340,0.05,0.03,0.01,27844,
01_track_110,106.36,74.39,20.27,30573740,0.02,0.01,0.00,4476,,,,,0.06,0.04,0.01,28124,
01_track_111,,,,,0.02,0.01,0.00,4476,56.18,55.55,0.48,819324,0.08,0.05,0.02,29772,
01_track_112,0.43,0.37,0.03,63956,0.01,0.01,0.00,4476,2.04,1.94,0.08,223268,0.08,0.03,0.01,24464,
01_track_113,,,,,0.02,0.01,0.00,4476,4.28,4.10,0.15,319792,0.06,0.05,0.00,28108,
01_track_114,21.93,20.19,1.63,2497420,0.01,0.00,0.00,4476,15.93,15.57,0.30,739768,0.05,0.03,0.01,24484,
01_track_115,0.56,0.50,0.03,68780,0.01,0.01,0.00,4476,2.65,2.54,0.10,228084,0.06,0.04,0.01,27708,
01_track_116,1.65,1.55,0.07,284252,0.02,0.01,0.00,4476,3.38,3.25,0.11,272144,0.06,0.04,0.01,27900,
01_track_117,,,,,0.01,0.01,0.00,4476,48.64,47.70,0.81,793184,0.06,0.04,0.01,27912,
01_track_118,,,,,0.02,0.01,0.00,4476,26.69,26.00,0.61,752704,0.05,0.03,0.01,24476,
01_track_119,0.52,0.46,0.04,59568,0.02,0.01,0.00,4476,4.05,3.91,0.12,260000,0.05,0.03,0.01,24448,
01_track_12,,,,,0.02,0.01,0.00,4476,10.96,10.51,0.41,718336,0.05,0.03,0.01,24488,
01_track_120,80.48,72.50,5.55,6528528,0.02,0.01,0.00,4476,7.31,6.89,0.40,717656,0.07,0.05,0.01,28176,
