,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
concat_isEmpty_equals_contains_l2_d2_bench,0.864,1.038,0.544,0.416,0.077,0.193,2.499,5.506,0.908,0.706,0.094,0.194,
delete_concat_isEmpty_equals_contains_l3_d3_bench,2.000,6.956,1.413,0.513,0.193,0.202,3.280,15.354,2.234,0.304,0.093,0.183,
delete_isEmpty_equals_contains_l2_d2_bench,0.826,0.848,0.487,0.344,0.114,0.211,2.225,8.238,1.212,0.288,0.086,0.176,
replace_concat_isEmpty_equals_contains_l3_d3_bench,1.110,3.109,0.833,231.436,230.552,0.270,4.871,18.412,2.460,0.279,0.079,0.176,
replace_delete_concat_isEmpty_equals_contains_l3_d3_bench,0.968,2.050,0.649,138.214,137.560,0.307,18.188,52.053,4.684,0.295,0.076,0.190,
replace_isEmpty_equals_contains_l2_d2_bench,0.817,0.877,0.461,1.421,1.168,0.206,2.211,5.194,1.009,0.290,0.069,0.193,
replace_toLowerCase_delete_substring12_concat_isEmpty_equals_contains_l3_d3_bench,1.091,3.150,0.858,,,,6.298,26.242,3.370,0.282,0.083,0.178,
substring12_concat_isEmpty_equals_contains_l3_d2_bench,0.977,1.763,0.639,0.365,0.112,0.214,3.007,9.827,1.668,0.310,0.100,0.178,
substring12_concat_isEmpty_equals_contains_l3_d3_bench,1.284,3.289,0.844,0.484,0.215,0.234,126.728,157.479,7.639,,,,
substring12_isEmpty_equals_contains_l2_d2_bench,0.841,1.036,0.514,0.322,0.079,0.208,2.068,5.877,0.928,0.395,0.085,0.196,
toLowerCase_concat_isEmpty_equals_contains_l3_d3_bench,1.050,2.283,0.734,,,,22.741,50.826,3.612,,,,
toLowerCase_isEmpty_equals_contains_l2_d2_bench,0.843,0.809,0.490,,,,2.874,10.493,1.516,0.374,0.136,0.198,
toLowerCase_substring12_concat_isEmpty_equals_contains_l3_d2_bench,1.042,2.427,0.704,,,,43.113,73.409,4.242,,,,
