unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
sat ,(   (define-fun sigmaStar_0 () String     "!0!\<SCRIPT!1!")   (define-fun literal_12 () String     "</a>\n")   (define-fun x_11 () String     "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=!0!\<SCRIPT!1!"">")   (define-fun x_9 () String     "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=!0!\<SCRIPT!1!")   (define-fun literal_8 () String     "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=")   (define-fun literal_10 () String     """>")   (define-fun x_7 () String     "!0!\<SCRIPT!1!")   (define-fun x_13 () String     "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=!0!\<SCRIPT!1!""></a>\n") ) 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
sat ,(   (define-fun sigmaStar_0 () String     "!0!\<SCRIPT!1!")   (define-fun literal_3 () String     "</td>")   (define-fun x_2 () String     "<td align=\""center\"">!0!\<SCRIPT!1!")   (define-fun literal_1 () String     "<td align=\""center\"">")   (define-fun x_4 () String     "<td align=\""center\"">!0!\<SCRIPT!1!</td>") ) 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
sat ,(   (define-fun x_21 () String     "")   (define-fun sigmaStar_0 () String     "\<SCRIPT")   (define-fun x_9 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=")   (define-fun literal_8 () String     "&amp;aid=")   (define-fun x_12 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid")   (define-fun literal_6 () String     "aid")   (define-fun x_20 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments&amp;frameset=top&amp;redirect=")   (define-fun x_15 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=")   (define-fun x_24 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments&amp;frameset=top&amp;redirect=\"" border=\""10\"" />")   (define-fun literal_17 () String     "redirect")   (define-fun epsilon () String     "")   (define-fun literal_14 () String     "&amp;allowcomments=")   (define-fun sigmaStar_3 () String     "")   (define-fun x_13 () String     "#sid=")   (define-fun literal_10 () String     "#sid=")   (define-fun literal_19 () String     "&amp;frameset=top&amp;redirect=")   (define-fun literal_11 () String     "allowcomments")   (define-fun x_18 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments")   (define-fun x_22 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments&amp;frameset=top&amp;redirect=")   (define-fun literal_5 () String     "  <frame src=\""viewassessment.php?id=")   (define-fun literal_23 () String     "\"" border=\""10\"" />")   (define-fun x_7 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT")   (define-fun sigmaStar_1 () String     "")   (define-fun sigmaStar_4 () String     "")   (define-fun sigmaStar_2 () String     "") ) 
sat ,(   (define-fun sigmaStar_3 () String     "\<SCRIPT")   (define-fun x_21 () String     "")   (define-fun x_9 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=")   (define-fun literal_8 () String     "&amp;aid=")   (define-fun x_12 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid")   (define-fun literal_6 () String     "aid")   (define-fun x_20 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments&amp;frameset=bottom&amp;redirect=")   (define-fun x_15 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=")   (define-fun x_24 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments&amp;frameset=bottom&amp;redirect=\"" />")   (define-fun literal_17 () String     "redirect")   (define-fun epsilon () String     "")   (define-fun literal_14 () String     "&amp;allowcomments=")   (define-fun sigmaStar_1 () String     "")   (define-fun x_13 () String     "#sid=")   (define-fun literal_10 () String     "#sid=")   (define-fun literal_19 () String     "&amp;frameset=bottom&amp;redirect=")   (define-fun literal_11 () String     "allowcomments")   (define-fun x_18 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments")   (define-fun x_22 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT&amp;aid=aid&amp;allowcomments=allowcomments&amp;frameset=bottom&amp;redirect=")   (define-fun literal_5 () String     "  <frame src=\""viewassessment.php?id=")   (define-fun literal_23 () String     "\"" />")   (define-fun x_7 () String     "  <frame src=\""viewassessment.php?id=\<SCRIPT")   (define-fun sigmaStar_4 () String     "")   (define-fun sigmaStar_2 () String     "")   (define-fun sigmaStar_0 () String     "") ) 
unsat ,(error "line 23 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 23 column 10: model is not available") 
sat ,(   (define-fun sigmaStar_18 () String     "\<SCRIPT")   (define-fun sigmaStar_9 () String     "")   (define-fun x_19 () String     "<tr valign=""top"">\n\u{d}\u{a}            <td colspan=""2"" align=""center"">\u{d}\u{a}            <b>thegradeis:  (maximumgrade ")   (define-fun literal_13 () String     " (")   (define-fun literal_21 () String     ")</b>\u{d}\u{a}            </td></tr><tr><td colspan=""2"" class=""workshopassessmentheading"">&nbsp;</td></tr>\n")   (define-fun x_11 () String     "<tr valign=""top"">\n\u{d}\u{a}            <td colspan=""2"" align=""center"">\u{d}\u{a}            <b>thegradeis: ")   (define-fun literal_10 () String     "<tr valign=""top"">\n\u{d}\u{a}            <td colspan=""2"" align=""center"">\u{d}\u{a}            <b>thegradeis: ")   (define-fun x_22 () String     "<tr valign=""top"">\n\u{d}\u{a}            <td colspan=""2"" align=""center"">\u{d}\u{a}            <b>thegradeis:  (maximumgrade \<SCRIPT)</b>\u{d}\u{a}            </td></tr><tr><td colspan=""2"" class=""workshopassessmentheading"">&nbsp;</td></tr>\n")   (define-fun literal_17 () String     " ")   (define-fun literal_12 () String     "maximumgrade")   (define-fun x_20 () String     "<tr valign=""top"">\n\u{d}\u{a}            <td colspan=""2"" align=""center"">\u{d}\u{a}            <b>thegradeis:  (maximumgrade \<SCRIPT")   (define-fun x_15 () String     "<tr valign=""top"">\n\u{d}\u{a}            <td colspan=""2"" align=""center"">\u{d}\u{a}            <b>thegradeis:  (maximumgrade")   (define-fun x_14 () String     "<tr valign=""top"">\n\u{d}\u{a}            <td colspan=""2"" align=""center"">\u{d}\u{a}            <b>thegradeis:  (")   (define-fun sigmaStar_1 () String     "")   (define-fun sigmaStar_0 () String     "") ) 
unsat ,(error "line 22 column 10: model is not available") 
sat ,(   (define-fun sigmaStar_7 () String     "!0!\<SCRIPT!1!")   (define-fun x_9 () String     "<p align=""right""><font size=""1"">weight: !0!\<SCRIPT!1!")   (define-fun literal_8 () String     "<p align=""right""><font size=""1"">weight: ")   (define-fun x_11 () String     "<p align=""right""><font size=""1"">weight: !0!\<SCRIPT!1!</font></p>\n")   (define-fun literal_10 () String     "</font></p>\n")   (define-fun sigmaStar_0 () String     "") ) 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
sat ,(   (define-fun sigmaStar_10 () String     "!0!\<SCRIPT!1!")   (define-fun literal_13 () String     "</font></td></tr>\n")   (define-fun x_14 () String     "<td><p align=""right""><font size=""1"">weight: !0!\<SCRIPT!1!</font></td></tr>\n")   (define-fun x_12 () String     "<td><p align=""right""><font size=""1"">weight: !0!\<SCRIPT!1!")   (define-fun literal_11 () String     "<td><p align=""right""><font size=""1"">weight: ")   (define-fun sigmaStar_0 () String     "")   (define-fun sigmaStar_1 () String     "") ) 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 23 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 23 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
unsat ,(error "line 22 column 10: model is not available") 
