filename	mas	cvc5	ostrich	z3
 01_track_1.smt2.json	0.775	0.311	0.301	1.286
 01_track_101.smt2.json	0.949	0.354	0.307	2.317
 01_track_102.smt2.json	0.809	0.348	1.578	5.406
 01_track_104.smt2.json	0.821	0.314	0.325	2.592
 01_track_107.smt2.json	1.023	0.324	0.293	1.389
 01_track_112.smt2.json	0.779	0.332	0.308	1.876
 01_track_115.smt2.json	0.819	0.302	0.306	2.366
 01_track_119.smt2.json	0.787	0.317	0.302	1.974
 01_track_126.smt2.json	0.835	0.325	0.312	1.589
 01_track_127.smt2.json	0.953	0.319	0.316	2.35
 01_track_128.smt2.json	0.751	0.325	0.301	1.372
 01_track_129.smt2.json	0.749	0.308	14.207	3.015
 01_track_13.smt2.json	0.808	0.324	0.364	1.65
 01_track_130.smt2.json	0.77	0.307	0.322	2.363
 01_track_136.smt2.json	0.861	0.312	0.623	5.341
 01_track_138.smt2.json	0.816	0.32	0.292	1.547
 01_track_14.smt2.json	0.773	0.318	0.313	3.04
 01_track_142.smt2.json	1.045	0.311	0.3	1.842
 01_track_144.smt2.json	2.157	0.311	0.299	1.746
 01_track_146.smt2.json	0.767	0.624	0.389	1.908
 01_track_149.smt2.json	0.761	0.322	0.333	5.181
 01_track_15.smt2.json	0.872	0.33	0.299	3.599
 01_track_150.smt2.json	0.835	0.326	0.283	1.586
 01_track_154.smt2.json	0.775	0.332	0.294	6.02
 01_track_155.smt2.json	8.058	0.31	0.628	2.643
 01_track_160.smt2.json	0.827	0.305	0.293	1.392
 01_track_163.smt2.json	0.906	0.345	0.288	1.942
 01_track_164.smt2.json	0.797	0.313	0.306	1.979
 01_track_168.smt2.json	0.905	0.373	0.322	6.556
 01_track_169.smt2.json	0.808	0.311	0.317	1.699
 01_track_170.smt2.json	0.871	0.32	0.322	1.997
 01_track_172.smt2.json	0.848	0.323	0.32	3.321
 01_track_176.smt2.json	0.764	0.318	0.285	1.292
 01_track_179.smt2.json	0.867	0.308	0.314	1.275
 01_track_181.smt2.json	0.845	0.316	0.298	1.756
 01_track_182.smt2.json	0.805	0.32	0.319	1.381
 01_track_186.smt2.json	0.869	0.324	0.538	2.557
 01_track_187.smt2.json	3.859	0.315	0.495	1.614
 01_track_19.smt2.json	0.836	0.313	118.697	2.031
 01_track_190.smt2.json	0.999	0.295	0.342	1.776
 01_track_192.smt2.json	0.799	0.322	0.765	2.925
 01_track_193.smt2.json	0.754	0.31	0.283	2.122
 01_track_195.smt2.json	0.877	0.321	0.315	2.217
 01_track_20.smt2.json	24.681	0.317	0.338	1.818
 01_track_200.smt2.json	1.711	0.32	0.378	2.269
 01_track_21.smt2.json	0.869	0.308	0.303	1.382
 01_track_22.smt2.json	0.807	0.309	0.345	1.534
 01_track_23.smt2.json	4.043	0.315	0.349	1.505
 01_track_27.smt2.json	0.828	0.323	0.292	1.938
 01_track_31.smt2.json	92.38	0.328	0.296	2.82
 01_track_32.smt2.json	0.89	0.313	0.293	2.267
 01_track_34.smt2.json	0.828	0.319	0.31	1.456
 01_track_39.smt2.json	24.262	0.329	0.296	1.313
 01_track_4.smt2.json	0.804	0.314	0.367	1.664
 01_track_40.smt2.json	0.831	0.309	0.303	1.923
 01_track_44.smt2.json	0.79	0.306	0.301	1.595
 01_track_48.smt2.json	0.793	0.348	0.309	2.423
 01_track_49.smt2.json	0.812	0.31	0.319	1.475
 01_track_5.smt2.json	0.867	0.316	0.343	4.315
 01_track_56.smt2.json	0.885	0.312	0.312	1.4
 01_track_61.smt2.json	0.834	0.312	0.315	3.404
 01_track_65.smt2.json	1.196	0.312	0.298	1.45
 01_track_66.smt2.json	0.807	0.313	0.299	1.673
 01_track_70.smt2.json	0.902	0.314	0.309	2.011
 01_track_75.smt2.json	1.062	0.319	0.313	1.701
 01_track_76.smt2.json	0.775	0.309	0.311	1.539
 01_track_8.smt2.json	13.483	0.303	0.301	3.32
 01_track_80.smt2.json	0.978	0.317	0.374	2.37
 01_track_83.smt2.json	0.781	0.314	0.314	1.36
 01_track_84.smt2.json	0.854	0.329	0.331	2.248
 01_track_85.smt2.json	48.797	0.312	0.308	2.132
 01_track_86.smt2.json	0.838	0.311	0.292	1.657
 01_track_88.smt2.json	0.948	0.355	0.299	1.858
 01_track_89.smt2.json	0.783	0.307	0.298	2.044
 01_track_91.smt2.json	0.953	0.307	0.31	1.751
 01_track_92.smt2.json	0.845	0.31	0.299	1.541
 01_track_93.smt2.json	0.963	0.314	0.305	1.859
 01_track_95.smt2.json	0.903	0.316	0.291	1.796
 01_track_97.smt2.json	0.872	0.305	0.337	4.316
 03_track_100.smt2.json	0.815	0.329	0.279	1.36
 03_track_101.smt2.json	1.686	0.311	0.328	3.284
 03_track_102.smt2.json	0.803	0.307	0.313	1.739
 03_track_104.smt2.json	0.79	0.31	0.338	2.03
 03_track_105.smt2.json	0.77	0.31	19.106	2.47
 03_track_106.smt2.json	0.772	0.306	0.281	1.377
 03_track_107.smt2.json	0.776	0.315	0.301	1.402
 03_track_108.smt2.json	0.816	0.306	0.403	2.045
 03_track_119.smt2.json	0.902	0.322	0.467	4.42
 03_track_120.smt2.json	1.629	0.323	0.292	1.702
 03_track_126.smt2.json	0.794	0.321	0.3	1.872
 03_track_127.smt2.json	0.788	0.317	0.299	1.307
 03_track_130.smt2.json	4.585	0.314	0.336	2.231
 03_track_144.smt2.json	0.842	0.314	0.307	1.712
 03_track_147.smt2.json	0.815	0.321	0.316	2.778
 03_track_161.smt2.json	0.889	0.321	0.524	2.842
 03_track_176.smt2.json	3.671	0.347	0.3	1.375
 03_track_177.smt2.json	0.861	0.31	0.351	2.415
 03_track_185.smt2.json	0.794	0.327	0.355	1.783
 03_track_194.smt2.json	0.805	0.326	0.335	2.126
 03_track_197.smt2.json	18.396	0.323	0.315	1.8
 03_track_198.smt2.json	0.787	0.319	0.308	1.865
 03_track_80.smt2.json	0.773	0.31	0.303	1.633
 03_track_89.smt2.json	0.82	0.334	0.311	2.731
 03_track_91.smt2.json	0.798	0.326	0.308	1.569
 03_track_92.smt2.json	1.056	0.31	0.305	1.226
 03_track_93.smt2.json	0.782	0.337	0.311	1.516
 03_track_94.smt2.json	0.789	0.318	0.306	1.625
 03_track_95.smt2.json	0.768	0.316	0.309	2.169
 03_track_96.smt2.json	0.798	0.327	0.304	3.155
 04_track_1.smt2.json	0.771	0.31	0.344	2.004
 04_track_195.smt2.json	0.874	0.309	0.332	1.774
 04_track_196.smt2.json	0.94	0.327	0.301	1.471
 04_track_8.smt2.json	0.802	0.317	0.298	1.804
instance00022	0.766	0.593	0.447	0.321
instance00049	0.749	0.608	0.415	0.31
instance00052	0.771	0.605	0.454	0.459
instance00055	0.768	0.601	0.436	0.319
instance00075	0.766	0.606	0.467	0.291
instance00076	0.751	0.628	0.411	0.311
instance00089	0.767	0.617	0.432	0.395
instance00097	0.738	0.591	0.426	0.321
instance00115	0.747	0.575	0.451	0.31
instance00219	0.746	0.609	0.436	0.311
instance00259	0.751	0.582	0.445	0.303
instance00285	0.771	0.607	0.445	0.301
instance00294	0.763	0.608	0.425	0.312
instance00323	0.76	0.6	0.433	0.323
instance00328	0.741	0.614	0.432	0.308
instance00332	0.763	0.607	0.438	0.302
instance00339	0.751	0.586	0.45	0.307
instance00363	0.741	0.604	0.418	0.31
instance00375	0.774	0.605	0.454	0.311
instance00398	0.746	0.577	0.453	0.306
instance00404	0.746	0.598	0.432	0.297
instance00418	0.755	0.579	0.453	0.296
instance00435	0.751	0.605	0.449	0.304
instance00463	0.76	0.584	0.455	0.322
instance00470	0.746	0.579	0.454	0.323
instance00480	0.771	0.579	0.487	0.301
instance00497	0.747	0.592	0.442	0.312
instance00501	0.747	0.605	0.429	0.321
instance00519	0.751	0.589	0.445	0.305
instance00525	0.751	0.575	0.454	0.285
instance00538	0.758	0.591	0.442	0.303
instance00588	0.758	0.611	0.437	0.309
instance00630	0.766	0.604	0.441	0.307
instance00660	0.77	0.618	0.444	0.309
instance00676	0.782	0.586	0.439	0.305
instance00677	0.748	0.593	0.451	0.308
instance00679	0.755	0.608	0.431	0.306
instance00689	0.747	0.612	0.431	0.307
instance00713	0.774	0.607	0.441	0.302
instance00714	0.765	0.61	0.436	0.311
instance00715	0.729	0.595	0.424	0.305
instance00730	0.76	0.589	0.447	0.312
instance00731	0.772	0.584	0.461	0.317
instance00765	0.759	0.599	0.441	0.31
instance00776	0.753	0.609	0.43	0.44
instance00777	0.743	0.585	0.438	0.314
instance00782	0.803	0.609	0.456	0.31
instance00793	0.764	0.586	0.449	0.318
instance00801	0.76	0.609	0.439	0.326
instance00804	0.76	0.594	0.45	0.297
instance00820	0.763	0.601	0.44	0.307
instance00845	0.761	0.575	0.467	0.297
instance00859	0.741	0.586	0.439	0.303
instance00860	0.73	0.6	0.416	0.314
instance00861	0.758	0.592	0.449	0.302
instance00862	0.741	0.593	0.446	0.314
instance00865	0.765	0.603	0.441	0.307
instance00883	0.782	0.589	0.45	0.315
instance00901	0.764	0.607	0.428	0.313
instance00907	0.763	0.589	0.445	0.291
instance00923	0.749	0.599	0.429	0.289
instance00938	0.764	0.587	0.46	0.316
instance00948	0.748	0.591	0.453	0.302
instance00956	0.77	0.61	0.433	0.312
instance00957	0.755	0.609	0.437	0.316
instance00977	0.769	0.605	0.439	0.303
instance00985	0.77	0.594	0.455	0.299
instance00986	0.775	0.619	0.431	0.289
instance00993	0.734	0.596	0.423	0.297
instance01030	0.754	0.58	0.452	0.295
instance01053	0.756	0.612	0.424	0.305
instance01054	0.765	0.594	0.458	0.316
instance01088	0.739	0.608	0.429	0.293
instance01089	0.768	0.598	0.454	0.299
instance01121	0.749	0.576	0.459	0.322
instance01135	0.758	0.588	0.443	0.311
instance01146	0.75	0.596	0.434	0.306
instance01168	0.761	0.589	0.453	0.299
instance01189	0.738	0.601	0.428	0.317
instance01197	0.747	0.597	0.436	0.299
instance01242	0.772	0.588	0.441	0.3
instance01256	0.752	0.603	0.45	0.308
instance01258	0.754	0.611	0.43	0.309
instance01271	0.77	0.605	0.435	0.311
instance01275	0.76	0.599	0.455	0.297
instance01287	0.745	0.603	0.428	0.307
instance01353	0.756	0.582	0.452	0.311
instance01355	0.775	0.597	0.443	0.288
instance01359	0.763	0.597	0.432	0.291
instance01360	0.776	0.605	0.447	0.299
instance01361	0.753	0.604	0.441	0.312
instance01367	0.745	0.58	0.456	0.301
instance01369	0.76	0.586	0.453	0.317
instance01401	0.741	0.59	0.438	0.308
instance01402	0.735	0.579	0.435	0.308
instance01408	0.812	0.581	0.461	0.3
instance01410	0.771	0.605	0.43	0.321
instance01414	0.735	0.592	0.437	0.316
instance01428	0.76	0.618	0.441	0.297
instance01458	0.766	0.606	0.441	0.287
instance01468	0.753	0.574	0.453	0.3
instance01474	0.744	0.588	0.446	0.315
instance01476	0.765	0.583	0.454	0.311
instance01495	0.754	0.59	0.442	0.311
instance01523	0.747	0.621	0.423	0.317
instance01527	0.764	0.604	0.438	0.303
instance01567	0.754	0.597	0.438	0.309
instance01568	0.737	0.594	0.422	0.298
instance01592	0.758	0.605	0.425	0.302
instance01633	0.74	0.584	0.429	0.306
instance01657	0.764	0.573	0.454	0.312
instance01658	0.748	0.566	0.451	0.298
instance01660	0.776	0.603	0.461	0.302
instance01669	0.769	0.573	0.446	0.324
instance01688	0.771	0.58	0.462	0.309
instance01690	0.75	0.594	0.428	0.299
instance01697	0.759	0.603	0.442	0.309
instance01701	0.737	0.572	0.433	0.317
instance01716	0.738	0.597	0.42	0.314
instance01768	0.743	0.58	0.443	0.303
instance01785	0.75	0.585	0.432	0.292
instance01795	0.754	0.606	0.436	0.288
instance01805	0.748	0.589	0.442	0.304
instance01808	0.759	0.58	0.453	0.304
instance01819	0.777	0.575	0.482	0.318
instance01828	0.763	0.576	0.455	0.304
instance01831	0.763	0.601	0.441	0.312
instance01834	0.735	0.611	0.426	0.299
instance01837	0.76	0.592	0.44	0.288
instance01855	0.732	0.59	0.434	0.314
instance01857	0.773	0.586	0.466	0.303
instance01875	0.76	0.601	0.448	0.3
instance01884	0.737	0.583	0.443	0.309
instance01894	0.74	0.59	0.433	0.311
instance01922	0.761	0.591	0.453	0.312
instance01924	0.75	0.591	0.439	0.352
instance01951	0.766	0.578	0.445	0.32
instance01959	0.768	0.587	0.455	0.288
instance01991	0.757	0.59	0.454	0.294
instance02013	0.748	0.588	0.43	0.305
instance02022	0.761	0.6	0.442	0.294
instance02043	0.767	0.601	0.442	0.288
instance02047	0.758	0.604	0.439	0.308
instance02060	0.776	0.61	0.441	0.314
instance02063	0.743	0.6	0.421	0.314
instance02066	0.759	0.612	0.446	0.309
instance02086	0.759	0.594	0.44	0.295
instance02093	0.758	0.613	0.44	0.291
instance02098	0.733	0.584	0.435	0.305
instance02120	0.751	0.583	0.463	0.316
instance02130	0.75	0.608	0.433	0.313
instance02172	0.811	0.589	0.459	0.315
instance02176	0.746	0.612	0.418	0.323
instance02187	0.766	0.639	0.418	0.291
instance02188	0.758	0.583	0.445	0.299
instance02192	0.76	0.592	0.455	0.314
instance02216	0.75	0.589	0.429	0.312
instance02265	0.742	0.571	0.444	0.301
instance02270	0.782	0.585	0.466	0.292
instance02274	0.755	0.594	0.455	0.312
instance02299	0.779	0.599	0.464	0.308
instance02304	0.782	0.58	0.48	0.31
instance02314	0.77	0.567	0.482	0.304
