sat ,(   (define-fun x () String     "DEBFGAABC") ) 
sat ,(   (define-fun x () String     "CDEAAAFBB") ) 
sat ,(   (define-fun x () String     "DCABCCAA") ) 
sat ,(   (define-fun x () String     "AADEBCFG") ) 
sat ,(   (define-fun x () String     "CDABEAAB") ) 
sat ,(   (define-fun x () String     "CABBDAAB") ) 
sat ,(   (define-fun x () String     "ABDEFBCG") ) 
sat ,(   (define-fun x () String     "ABDEGCAF") ) 
sat ,(   (define-fun x () String     "ADBCCFEG") ) 
sat ,(   (define-fun x () String     "ABABDCCB") ) 
sat ,(   (define-fun x () String     "AACCBAAD") ) 
sat ,(   (define-fun x () String     "DEACFBAG") ) 
sat ,(   (define-fun x () String     "DEACFBCB") ) 
sat ,(   (define-fun x () String     "BADEFACG") ) 
sat ,(   (define-fun x () String     "BABDEBCF") ) 
sat ,(   (define-fun x () String     "BBBDABCE") ) 
sat ,(   (define-fun x () String     "DAABCABE") ) 
sat ,(   (define-fun x () String     "BDACCEFG") ) 
sat ,(   (define-fun x () String     "DAACAEFCBCC") ) 
sat ,(   (define-fun x () String     "DBCEABBB") ) 
sat ,(   (define-fun x () String     "BCAADCCA") ) 
sat ,(   (define-fun x () String     "DCEBACCA") ) 
sat ,(   (define-fun x () String     "ECAADBBB") ) 
sat ,(   (define-fun x () String     "DABCECCC") ) 
sat ,(   (define-fun x () String     "DAAEABCB") ) 
sat ,(   (define-fun x () String     "ACDBBBC") ) 
sat ,(   (define-fun x () String     "EADACAAB") ) 
sat ,(   (define-fun x () String     "CABDAABB") ) 
sat ,(   (define-fun x () String     "ECADFBBC") ) 
sat ,(   (define-fun x () String     "DACCEBAC") ) 
sat ,(   (define-fun x () String     "ACCBBCDC") ) 
sat ,(   (define-fun x () String     "CDBBAEBB") ) 
sat ,(   (define-fun x () String     "ABBCDBBC") ) 
sat ,(   (define-fun x () String     "DABCABAB") ) 
sat ,(   (define-fun x () String     "DBCCEACFCBB") ) 
sat ,(   (define-fun x () String     "ADCBECCC") ) 
sat ,(   (define-fun x () String     "DCAAABAA") ) 
sat ,(   (define-fun x () String     "DCABABAC") ) 
sat ,(   (define-fun x () String     "ABBCDBBC") ) 
sat ,(   (define-fun x () String     "DBEFAABA") ) 
sat ,(   (define-fun x () String     "DCCABECC") ) 
sat ,(   (define-fun x () String     "ACCBCCDC") ) 
sat ,(   (define-fun x () String     "CAAABDAA") ) 
sat ,(   (define-fun x () String     "DBACABAC") ) 
sat ,(   (define-fun x () String     "CAAAADBA") ) 
sat ,(   (define-fun x () String     "DCAAABAA") ) 
sat ,(   (define-fun x () String     "DBEAABAF") ) 
sat ,(   (define-fun x () String     "DACCABAB") ) 
